trial0036601, AA, 975, 24, 40.625000, ZIC, 94, 8, 11.750000, 
trial0036602, AA, 899, 24, 37.458333, ZIC, 193, 8, 24.125000, 
trial0036603, AA, 822, 24, 34.250000, ZIC, 197, 8, 24.625000, 
trial0036604, AA, 720, 24, 30.000000, ZIC, 326, 8, 40.750000, 
trial0036605, AA, 851, 24, 35.458333, ZIC, 229, 8, 28.625000, 
trial0036606, AA, 847, 24, 35.291667, ZIC, 200, 8, 25.000000, 
trial0036607, AA, 587, 24, 24.458333, ZIC, 339, 8, 42.375000, 
trial0036608, AA, 889, 24, 37.041667, ZIC, 203, 8, 25.375000, 
trial0036609, AA, 901, 24, 37.541667, ZIC, 140, 8, 17.500000, 
trial0036610, AA, 955, 24, 39.791667, ZIC, 198, 8, 24.750000, 
trial0036611, AA, 959, 24, 39.958333, ZIC, 50, 8, 6.250000, 
trial0036612, AA, 811, 24, 33.791667, ZIC, 305, 8, 38.125000, 
trial0036613, AA, 903, 24, 37.625000, ZIC, 125, 8, 15.625000, 
trial0036614, AA, 619, 24, 25.791667, ZIC, 396, 8, 49.500000, 
trial0036615, AA, 892, 24, 37.166667, ZIC, 220, 8, 27.500000, 
trial0036616, AA, 649, 24, 27.041667, ZIC, 332, 8, 41.500000, 
trial0036617, AA, 670, 24, 27.916667, ZIC, 295, 8, 36.875000, 
trial0036618, AA, 923, 24, 38.458333, ZIC, 136, 8, 17.000000, 
trial0036619, AA, 812, 24, 33.833333, ZIC, 201, 8, 25.125000, 
trial0036620, AA, 832, 24, 34.666667, ZIC, 246, 8, 30.750000, 
trial0036621, AA, 824, 24, 34.333333, ZIC, 187, 8, 23.375000, 
trial0036622, AA, 774, 24, 32.250000, ZIC, 249, 8, 31.125000, 
trial0036623, AA, 805, 24, 33.541667, ZIC, 211, 8, 26.375000, 
trial0036624, AA, 814, 24, 33.916667, ZIC, 254, 8, 31.750000, 
trial0036625, AA, 566, 24, 23.583333, ZIC, 507, 8, 63.375000, 
trial0036626, AA, 707, 24, 29.458333, ZIC, 355, 8, 44.375000, 
trial0036627, AA, 691, 24, 28.791667, ZIC, 360, 8, 45.000000, 
trial0036628, AA, 969, 24, 40.375000, ZIC, 148, 8, 18.500000, 
trial0036629, AA, 879, 24, 36.625000, ZIC, 161, 8, 20.125000, 
trial0036630, AA, 596, 24, 24.833333, ZIC, 374, 8, 46.750000, 
trial0036631, AA, 1528, 24, 63.666667, ZIC, 136, 8, 17.000000, 
trial0036632, AA, 1254, 24, 52.250000, ZIC, 515, 8, 64.375000, 
