trial0001077, AA, 4717, 20, 235.850000, ZIP, 5764, 20, 288.200000, 
trial0001078, AA, 6744, 20, 337.200000, ZIP, 3947, 20, 197.350000, 
trial0001079, AA, 4810, 20, 240.500000, ZIP, 5901, 20, 295.050000, 
trial0001080, AA, 4261, 20, 213.050000, ZIP, 6518, 20, 325.900000, 
trial0001081, AA, 4015, 20, 200.750000, ZIP, 6960, 20, 348.000000, 
trial0001082, AA, 5005, 20, 250.250000, ZIP, 5426, 20, 271.300000, 
trial0001083, AA, 6412, 20, 320.600000, ZIP, 4609, 20, 230.450000, 
trial0001084, AA, 4838, 20, 241.900000, ZIP, 5852, 20, 292.600000, 
trial0001085, AA, 5111, 20, 255.550000, ZIP, 5524, 20, 276.200000, 
trial0001086, AA, 6782, 20, 339.100000, ZIP, 3738, 20, 186.900000, 
trial0001087, AA, 5808, 20, 290.400000, ZIP, 4778, 20, 238.900000, 
trial0001088, AA, 5973, 20, 298.650000, ZIP, 4381, 20, 219.050000, 
trial0001089, AA, 3532, 20, 176.600000, ZIP, 7290, 20, 364.500000, 
trial0001090, AA, 5240, 20, 262.000000, ZIP, 5880, 20, 294.000000, 
trial0001091, AA, 6089, 20, 304.450000, ZIP, 4857, 20, 242.850000, 
trial0001092, AA, 2917, 20, 145.850000, ZIP, 7323, 20, 366.150000, 
trial0001093, AA, 5267, 20, 263.350000, ZIP, 5290, 20, 264.500000, 
trial0001094, AA, 3920, 20, 196.000000, ZIP, 6709, 20, 335.450000, 
trial0001095, AA, 2838, 20, 141.900000, ZIP, 7580, 20, 379.000000, 
trial0001096, AA, 5413, 20, 270.650000, ZIP, 5633, 20, 281.650000, 
trial0001097, AA, 5312, 20, 265.600000, ZIP, 5617, 20, 280.850000, 
trial0001098, AA, 6193, 20, 309.650000, ZIP, 4612, 20, 230.600000, 
trial0001099, AA, 5778, 20, 288.900000, ZIP, 4985, 20, 249.250000, 
trial0001100, AA, 4115, 20, 205.750000, ZIP, 6792, 20, 339.600000, 
trial0001101, AA, 5292, 20, 264.600000, ZIP, 3760, 20, 188.000000, 
trial0001102, AA, 5253, 20, 262.650000, ZIP, 3883, 20, 194.150000, 
trial0001103, AA, 4808, 20, 240.400000, ZIP, 3796, 20, 189.800000, 
trial0001104, AA, 5095, 20, 254.750000, ZIP, 3928, 20, 196.400000, 
trial0001105, AA, 4017, 20, 200.850000, ZIP, 4936, 20, 246.800000, 
trial0001106, AA, 5922, 20, 296.100000, ZIP, 3102, 20, 155.100000, 
trial0001107, AA, 5239, 20, 261.950000, ZIP, 3509, 20, 175.450000, 
trial0001108, AA, 4279, 20, 213.950000, ZIP, 4587, 20, 229.350000, 
trial0001109, AA, 4479, 20, 223.950000, ZIP, 4360, 20, 218.000000, 
trial0001110, AA, 4197, 20, 209.850000, ZIP, 4553, 20, 227.650000, 
trial0001111, AA, 4976, 20, 248.800000, ZIP, 3845, 20, 192.250000, 
trial0001112, AA, 5537, 20, 276.850000, ZIP, 3232, 20, 161.600000, 
trial0001113, AA, 2989, 20, 149.450000, ZIP, 5768, 20, 288.400000, 
trial0001114, AA, 3545, 20, 177.250000, ZIP, 5156, 20, 257.800000, 
trial0001115, AA, 3927, 20, 196.350000, ZIP, 4801, 20, 240.050000, 
trial0001116, AA, 5940, 20, 297.000000, ZIP, 2907, 20, 145.350000, 
trial0001117, AA, 4467, 20, 223.350000, ZIP, 4141, 20, 207.050000, 
trial0001118, AA, 5163, 20, 258.150000, ZIP, 3883, 20, 194.150000, 
trial0001119, AA, 5306, 20, 265.300000, ZIP, 3768, 20, 188.400000, 
trial0001120, AA, 4315, 20, 215.750000, ZIP, 4785, 20, 239.250000, 
trial0001121, AA, 3912, 20, 195.600000, ZIP, 5211, 20, 260.550000, 
trial0001122, AA, 5134, 20, 256.700000, ZIP, 3844, 20, 192.200000, 
trial0001123, AA, 3329, 20, 166.450000, ZIP, 5758, 20, 287.900000, 
trial0001124, AA, 3578, 20, 178.900000, ZIP, 5193, 20, 259.650000, 
trial0001125, AA, 4850, 20, 242.500000, ZIP, 4017, 20, 200.850000, 
