trial0000077, AA, 6115, 20, 305.750000, ZIC, 4591, 20, 229.550000, 
trial0000078, AA, 7005, 20, 350.250000, ZIC, 4036, 20, 201.800000, 
trial0000079, AA, 6208, 20, 310.400000, ZIC, 4243, 20, 212.150000, 
trial0000080, AA, 5509, 20, 275.450000, ZIC, 4308, 20, 215.400000, 
trial0000081, AA, 5356, 20, 267.800000, ZIC, 5145, 20, 257.250000, 
trial0000082, AA, 5502, 20, 275.100000, ZIC, 5056, 20, 252.800000, 
trial0000083, AA, 6030, 20, 301.500000, ZIC, 4534, 20, 226.700000, 
trial0000084, AA, 6950, 20, 347.500000, ZIC, 2657, 20, 132.850000, 
trial0000085, AA, 6935, 20, 346.750000, ZIC, 3832, 20, 191.600000, 
trial0000086, AA, 5187, 20, 259.350000, ZIC, 5533, 20, 276.650000, 
trial0000087, AA, 5138, 20, 256.900000, ZIC, 5036, 20, 251.800000, 
trial0000088, AA, 5159, 20, 257.950000, ZIC, 5667, 20, 283.350000, 
trial0000089, AA, 5071, 20, 253.550000, ZIC, 5608, 20, 280.400000, 
trial0000090, AA, 6731, 20, 336.550000, ZIC, 4707, 20, 235.350000, 
trial0000091, AA, 5595, 20, 279.750000, ZIC, 5162, 20, 258.100000, 
trial0000092, AA, 5921, 20, 296.050000, ZIC, 4623, 20, 231.150000, 
trial0000093, AA, 5547, 20, 277.350000, ZIC, 5089, 20, 254.450000, 
trial0000094, AA, 5869, 20, 293.450000, ZIC, 4059, 20, 202.950000, 
trial0000095, AA, 5749, 20, 287.450000, ZIC, 4640, 20, 232.000000, 
trial0000096, AA, 6054, 20, 302.700000, ZIC, 4755, 20, 237.750000, 
trial0000097, AA, 7434, 20, 371.700000, ZIC, 3504, 20, 175.200000, 
trial0000098, AA, 5711, 20, 285.550000, ZIC, 5108, 20, 255.400000, 
trial0000099, AA, 4473, 20, 223.650000, ZIC, 6058, 20, 302.900000, 
trial0000100, AA, 6171, 20, 308.550000, ZIC, 3994, 20, 199.700000, 
trial0000101, AA, 7498, 20, 374.900000, ZIC, 3321, 20, 166.050000, 
trial0000102, AA, 6345, 20, 317.250000, ZIC, 3353, 20, 167.650000, 
trial0000103, AA, 6067, 20, 303.350000, ZIC, 4127, 20, 206.350000, 
trial0000104, AA, 5270, 20, 263.500000, ZIC, 4993, 20, 249.650000, 
trial0000105, AA, 6799, 20, 339.950000, ZIC, 3742, 20, 187.100000, 
trial0000106, AA, 7587, 20, 379.350000, ZIC, 2912, 20, 145.600000, 
trial0000107, AA, 6817, 20, 340.850000, ZIC, 3882, 20, 194.100000, 
trial0000108, AA, 4843, 20, 242.150000, ZIC, 5635, 20, 281.750000, 
trial0000109, AA, 5652, 20, 282.600000, ZIC, 5234, 20, 261.700000, 
trial0000110, AA, 4856, 20, 242.800000, ZIC, 4685, 20, 234.250000, 
trial0000111, AA, 7905, 20, 395.250000, ZIC, 3107, 20, 155.350000, 
trial0000112, AA, 6055, 20, 302.750000, ZIC, 4814, 20, 240.700000, 
trial0000113, AA, 7210, 20, 360.500000, ZIC, 4022, 20, 201.100000, 
trial0000114, AA, 7587, 20, 379.350000, ZIC, 3341, 20, 167.050000, 
trial0000115, AA, 4510, 20, 225.500000, ZIC, 6243, 20, 312.150000, 
trial0000116, AA, 4744, 20, 237.200000, ZIC, 5645, 20, 282.250000, 
trial0000117, AA, 7830, 20, 391.500000, ZIC, 3283, 20, 164.150000, 
trial0000118, AA, 5488, 20, 274.400000, ZIC, 4777, 20, 238.850000, 
trial0000119, AA, 5042, 20, 252.100000, ZIC, 6058, 20, 302.900000, 
trial0000120, AA, 7507, 20, 375.350000, ZIC, 3632, 20, 181.600000, 
trial0000121, AA, 7620, 20, 381.000000, ZIC, 3003, 20, 150.150000, 
trial0000122, AA, 4950, 20, 247.500000, ZIC, 5375, 20, 268.750000, 
trial0000123, AA, 4138, 20, 206.900000, ZIC, 6235, 20, 311.750000, 
trial0000124, AA, 4910, 20, 245.500000, ZIC, 5506, 20, 275.300000, 
trial0000125, AA, 6524, 20, 326.200000, ZIC, 4580, 20, 229.000000, 
trial0000126, AA, 5590, 20, 279.500000, ZIC, 5098, 20, 254.900000, 
trial0000127, AA, 8559, 20, 427.950000, ZIC, 2168, 20, 108.400000, 
trial0000128, AA, 7270, 20, 363.500000, ZIC, 3435, 20, 171.750000, 
trial0000129, AA, 7398, 20, 369.900000, ZIC, 3439, 20, 171.950000, 
trial0000130, AA, 5585, 20, 279.250000, ZIC, 4819, 20, 240.950000, 
trial0000131, AA, 4495, 20, 224.750000, ZIC, 5873, 20, 293.650000, 
trial0000132, AA, 7505, 20, 375.250000, ZIC, 3285, 20, 164.250000, 
trial0000133, AA, 7073, 20, 353.650000, ZIC, 3419, 20, 170.950000, 
trial0000134, AA, 3396, 20, 169.800000, ZIC, 6328, 20, 316.400000, 
trial0000135, AA, 6091, 20, 304.550000, ZIC, 5077, 20, 253.850000, 
trial0000136, AA, 5308, 20, 265.400000, ZIC, 5336, 20, 266.800000, 
trial0000137, AA, 5106, 20, 255.300000, ZIC, 5313, 20, 265.650000, 
trial0000138, AA, 6947, 20, 347.350000, ZIC, 4147, 20, 207.350000, 
trial0000139, AA, 7221, 20, 361.050000, ZIC, 3617, 20, 180.850000, 
trial0000140, AA, 5735, 20, 286.750000, ZIC, 4669, 20, 233.450000, 
trial0000141, AA, 7410, 20, 370.500000, ZIC, 4245, 20, 212.250000, 
trial0000142, AA, 3543, 20, 177.150000, ZIC, 6142, 20, 307.100000, 
trial0000143, AA, 4202, 20, 210.100000, ZIC, 5423, 20, 271.150000, 
trial0000144, AA, 3570, 20, 178.500000, ZIC, 6718, 20, 335.900000, 
trial0000145, AA, 6209, 20, 310.450000, ZIC, 3955, 20, 197.750000, 
trial0000146, AA, 7323, 20, 366.150000, ZIC, 3697, 20, 184.850000, 
trial0000147, AA, 3982, 20, 199.100000, ZIC, 6595, 20, 329.750000, 
trial0000148, AA, 5310, 20, 265.500000, ZIC, 5160, 20, 258.000000, 
trial0000149, AA, 6127, 20, 306.350000, ZIC, 4750, 20, 237.500000, 
trial0000150, AA, 5834, 20, 291.700000, ZIC, 5223, 20, 261.150000, 
trial0000151, AA, 5545, 20, 277.250000, ZIC, 4737, 20, 236.850000, 
trial0000152, AA, 7735, 20, 386.750000, ZIC, 2959, 20, 147.950000, 
trial0000153, AA, 5707, 20, 285.350000, ZIC, 4742, 20, 237.100000, 
trial0000154, AA, 4505, 20, 225.250000, ZIC, 5868, 20, 293.400000, 
trial0000155, AA, 6246, 20, 312.300000, ZIC, 4891, 20, 244.550000, 
trial0000156, AA, 5050, 20, 252.500000, ZIC, 5004, 20, 250.200000, 
trial0000157, AA, 6646, 20, 332.300000, ZIC, 4027, 20, 201.350000, 
trial0000158, AA, 5236, 20, 261.800000, ZIC, 5295, 20, 264.750000, 
trial0000159, AA, 6264, 20, 313.200000, ZIC, 4447, 20, 222.350000, 
trial0000160, AA, 6416, 20, 320.800000, ZIC, 4082, 20, 204.100000, 
trial0000161, AA, 6138, 20, 306.900000, ZIC, 4292, 20, 214.600000, 
trial0000162, AA, 6215, 20, 310.750000, ZIC, 4762, 20, 238.100000, 
trial0000163, AA, 4994, 20, 249.700000, ZIC, 4975, 20, 248.750000, 
trial0000164, AA, 6262, 20, 313.100000, ZIC, 4026, 20, 201.300000, 
trial0000165, AA, 4123, 20, 206.150000, ZIC, 6155, 20, 307.750000, 
trial0000166, AA, 5400, 20, 270.000000, ZIC, 5178, 20, 258.900000, 
trial0000167, AA, 6585, 20, 329.250000, ZIC, 4183, 20, 209.150000, 
trial0000168, AA, 6155, 20, 307.750000, ZIC, 4567, 20, 228.350000, 
trial0000169, AA, 6672, 20, 333.600000, ZIC, 4025, 20, 201.250000, 
trial0000170, AA, 6923, 20, 346.150000, ZIC, 4201, 20, 210.050000, 
trial0000171, AA, 7404, 20, 370.200000, ZIC, 3335, 20, 166.750000, 
trial0000172, AA, 4938, 20, 246.900000, ZIC, 5833, 20, 291.650000, 
trial0000173, AA, 6289, 20, 314.450000, ZIC, 4696, 20, 234.800000, 
trial0000174, AA, 5156, 20, 257.800000, ZIC, 5973, 20, 298.650000, 
trial0000175, AA, 4864, 20, 243.200000, ZIC, 5024, 20, 251.200000, 
trial0000176, AA, 6436, 20, 321.800000, ZIC, 4706, 20, 235.300000, 
trial0000177, AA, 4227, 20, 211.350000, ZIC, 5947, 20, 297.350000, 
trial0000178, AA, 5508, 20, 275.400000, ZIC, 5065, 20, 253.250000, 
trial0000179, AA, 4328, 20, 216.400000, ZIC, 6048, 20, 302.400000, 
trial0000180, AA, 4127, 20, 206.350000, ZIC, 6281, 20, 314.050000, 
trial0000181, AA, 5216, 20, 260.800000, ZIC, 5035, 20, 251.750000, 
trial0000182, AA, 5481, 20, 274.050000, ZIC, 4197, 20, 209.850000, 
trial0000183, AA, 3305, 20, 165.250000, ZIC, 7100, 20, 355.000000, 
trial0000184, AA, 5005, 20, 250.250000, ZIC, 5006, 20, 250.300000, 
trial0000185, AA, 5352, 20, 267.600000, ZIC, 5943, 20, 297.150000, 
trial0000186, AA, 6968, 20, 348.400000, ZIC, 3598, 20, 179.900000, 
trial0000187, AA, 3908, 20, 195.400000, ZIC, 5921, 20, 296.050000, 
trial0000188, AA, 5169, 20, 258.450000, ZIC, 5237, 20, 261.850000, 
trial0000189, AA, 6236, 20, 311.800000, ZIC, 4536, 20, 226.800000, 
trial0000190, AA, 3964, 20, 198.200000, ZIC, 6315, 20, 315.750000, 
trial0000191, AA, 4489, 20, 224.450000, ZIC, 5578, 20, 278.900000, 
trial0000192, AA, 4254, 20, 212.700000, ZIC, 6177, 20, 308.850000, 
trial0000193, AA, 5073, 20, 253.650000, ZIC, 5050, 20, 252.500000, 
trial0000194, AA, 4577, 20, 228.850000, ZIC, 5820, 20, 291.000000, 
trial0000195, AA, 5106, 20, 255.300000, ZIC, 6025, 20, 301.250000, 
trial0000196, AA, 5890, 20, 294.500000, ZIC, 4840, 20, 242.000000, 
trial0000197, AA, 6910, 20, 345.500000, ZIC, 3226, 20, 161.300000, 
trial0000198, AA, 7062, 20, 353.100000, ZIC, 3150, 20, 157.500000, 
trial0000199, AA, 7110, 20, 355.500000, ZIC, 2563, 20, 128.150000, 
trial0000200, AA, 5576, 20, 278.800000, ZIC, 4718, 20, 235.900000, 
trial0000201, AA, 5310, 20, 265.500000, ZIC, 2709, 20, 135.450000, 
trial0000202, AA, 6505, 20, 325.250000, ZIC, 2206, 20, 110.300000, 
trial0000203, AA, 4640, 20, 232.000000, ZIC, 3706, 20, 185.300000, 
trial0000204, AA, 5683, 20, 284.150000, ZIC, 2468, 20, 123.400000, 
trial0000205, AA, 6182, 20, 309.100000, ZIC, 2873, 20, 143.650000, 
trial0000206, AA, 2465, 20, 123.250000, ZIC, 4861, 20, 243.050000, 
trial0000207, AA, 5576, 20, 278.800000, ZIC, 3540, 20, 177.000000, 
trial0000208, AA, 3589, 20, 179.450000, ZIC, 4341, 20, 217.050000, 
trial0000209, AA, 5487, 20, 274.350000, ZIC, 3452, 20, 172.600000, 
trial0000210, AA, 4334, 20, 216.700000, ZIC, 4425, 20, 221.250000, 
trial0000211, AA, 4022, 20, 201.100000, ZIC, 3907, 20, 195.350000, 
trial0000212, AA, 6026, 20, 301.300000, ZIC, 2345, 20, 117.250000, 
trial0000213, AA, 4027, 20, 201.350000, ZIC, 4175, 20, 208.750000, 
trial0000214, AA, 4797, 20, 239.850000, ZIC, 4417, 20, 220.850000, 
trial0000215, AA, 2820, 20, 141.000000, ZIC, 4221, 20, 211.050000, 
trial0000216, AA, 5567, 20, 278.350000, ZIC, 3059, 20, 152.950000, 
trial0000217, AA, 6087, 20, 304.350000, ZIC, 2387, 20, 119.350000, 
