trial0002075, ZIC, 8586, 38, 225.947368, ZIP, 179, 2, 89.500000, 
trial0002076, ZIC, 7858, 38, 206.789474, ZIP, 865, 2, 432.500000, 
trial0002077, ZIC, 7898, 38, 207.842105, ZIP, 1200, 2, 600.000000, 
trial0002078, ZIC, 7960, 38, 209.473684, ZIP, 618, 2, 309.000000, 
trial0002079, ZIC, 8154, 38, 214.578947, ZIP, 7, 2, 3.500000, 
trial0002080, ZIC, 6979, 38, 183.657895, ZIP, 669, 2, 334.500000, 
trial0002081, ZIC, 7591, 38, 199.763158, ZIP, 190, 2, 95.000000, 
trial0002082, ZIC, 7309, 38, 192.342105, ZIP, 1178, 2, 589.000000, 
trial0002083, ZIC, 8144, 38, 214.315789, ZIP, 630, 2, 315.000000, 
trial0002084, ZIC, 8375, 38, 220.394737, ZIP, 0, 2, 0.000000, 
trial0002085, ZIC, 8364, 38, 220.105263, ZIP, 336, 2, 168.000000, 
trial0002086, ZIC, 7739, 38, 203.657895, ZIP, 121, 2, 60.500000, 
trial0002087, ZIC, 7480, 38, 196.842105, ZIP, 222, 2, 111.000000, 
trial0002088, ZIC, 8428, 38, 221.789474, ZIP, 556, 2, 278.000000, 
trial0002089, ZIC, 7748, 38, 203.894737, ZIP, 1208, 2, 604.000000, 
trial0002090, ZIC, 6591, 38, 173.447368, ZIP, 1263, 2, 631.500000, 
trial0002091, ZIC, 6947, 38, 182.815789, ZIP, 867, 2, 433.500000, 
trial0002092, ZIC, 8369, 38, 220.236842, ZIP, 109, 2, 54.500000, 
trial0002093, ZIC, 8418, 38, 221.526316, ZIP, 79, 2, 39.500000, 
trial0002094, ZIC, 7945, 38, 209.078947, ZIP, 564, 2, 282.000000, 
trial0002095, ZIC, 8240, 38, 216.842105, ZIP, 807, 2, 403.500000, 
trial0002096, ZIC, 7824, 38, 205.894737, ZIP, 965, 2, 482.500000, 
trial0002097, ZIC, 7969, 38, 209.710526, ZIP, 676, 2, 338.000000, 
trial0002098, ZIC, 7547, 38, 198.605263, ZIP, 1039, 2, 519.500000, 
trial0002099, ZIC, 8193, 38, 215.605263, ZIP, 24, 2, 12.000000, 
trial0002100, ZIC, 6883, 38, 181.131579, ZIP, 1339, 2, 669.500000, 
trial0002101, ZIC, 12106, 38, 318.578947, ZIP, 74, 2, 37.000000, 
trial0002102, ZIC, 9318, 38, 245.210526, ZIP, 2302, 2, 1151.000000, 
trial0002103, ZIC, 11599, 38, 305.236842, ZIP, 907, 2, 453.500000, 
trial0002104, ZIC, 12762, 38, 335.842105, ZIP, 342, 2, 171.000000, 
trial0002105, ZIC, 11440, 38, 301.052632, ZIP, 964, 2, 482.000000, 
trial0002106, ZIC, 10567, 38, 278.078947, ZIP, 1524, 2, 762.000000, 
trial0002107, ZIC, 11798, 38, 310.473684, ZIP, 566, 2, 283.000000, 
trial0002108, ZIC, 9807, 38, 258.078947, ZIP, 2327, 2, 1163.500000, 
trial0002109, ZIC, 12638, 38, 332.578947, ZIP, 44, 2, 22.000000, 
trial0002110, ZIC, 11414, 38, 300.368421, ZIP, 714, 2, 357.000000, 
trial0002111, ZIC, 11649, 38, 306.552632, ZIP, 246, 2, 123.000000, 
trial0002112, ZIC, 11710, 38, 308.157895, ZIP, 960, 2, 480.000000, 
trial0002113, ZIC, 12284, 38, 323.263158, ZIP, 523, 2, 261.500000, 
trial0002114, ZIC, 10626, 38, 279.631579, ZIP, 1604, 2, 802.000000, 
trial0002115, ZIC, 12235, 38, 321.973684, ZIP, 19, 2, 9.500000, 
trial0002116, ZIC, 10937, 38, 287.815789, ZIP, 670, 2, 335.000000, 
trial0002117, ZIC, 11155, 38, 293.552632, ZIP, 818, 2, 409.000000, 
trial0002118, ZIC, 10918, 38, 287.315789, ZIP, 197, 2, 98.500000, 
trial0002119, ZIC, 11604, 38, 305.368421, ZIP, 590, 2, 295.000000, 
trial0002120, ZIC, 11320, 38, 297.894737, ZIP, 713, 2, 356.500000, 
trial0002121, ZIC, 11379, 38, 299.447368, ZIP, 1130, 2, 565.000000, 
trial0002122, ZIC, 11036, 38, 290.421053, ZIP, 1338, 2, 669.000000, 
trial0002123, ZIC, 12438, 38, 327.315789, ZIP, 112, 2, 56.000000, 
trial0002124, ZIC, 12156, 38, 319.894737, ZIP, 35, 2, 17.500000, 
trial0002125, ZIC, 10019, 38, 263.657895, ZIP, 1512, 2, 756.000000, 
trial0002126, ZIC, 11078, 38, 291.526316, ZIP, 167, 2, 83.500000, 
trial0002127, ZIC, 11341, 38, 298.447368, ZIP, 101, 2, 50.500000, 
trial0002128, ZIC, 12033, 38, 316.657895, ZIP, 0, 2, 0.000000, 
trial0002129, ZIC, 10739, 38, 282.605263, ZIP, 1664, 2, 832.000000, 
trial0002130, ZIC, 11181, 38, 294.236842, ZIP, 602, 2, 301.000000, 
trial0002131, ZIC, 11819, 38, 311.026316, ZIP, 703, 2, 351.500000, 
trial0002132, ZIC, 11988, 38, 315.473684, ZIP, 853, 2, 426.500000, 
trial0002133, ZIC, 12025, 38, 316.447368, ZIP, 181, 2, 90.500000, 
trial0002134, ZIC, 11068, 38, 291.263158, ZIP, 489, 2, 244.500000, 
trial0002135, ZIC, 12026, 38, 316.473684, ZIP, 988, 2, 494.000000, 
trial0002136, ZIC, 12496, 38, 328.842105, ZIP, 65, 2, 32.500000, 
trial0002137, ZIC, 11214, 38, 295.105263, ZIP, 1289, 2, 644.500000, 
trial0002138, ZIC, 11684, 38, 307.473684, ZIP, 1003, 2, 501.500000, 
trial0002139, ZIC, 11094, 38, 291.947368, ZIP, 1052, 2, 526.000000, 
trial0002140, ZIC, 11046, 38, 290.684211, ZIP, 1257, 2, 628.500000, 
trial0002141, ZIC, 12174, 38, 320.368421, ZIP, 97, 2, 48.500000, 
trial0002142, ZIC, 11112, 38, 292.421053, ZIP, 658, 2, 329.000000, 
trial0002143, ZIC, 12362, 38, 325.315789, ZIP, 9, 2, 4.500000, 
trial0002144, ZIC, 12101, 38, 318.447368, ZIP, 7, 2, 3.500000, 
trial0002145, ZIC, 12071, 38, 317.657895, ZIP, 390, 2, 195.000000, 
