trial0002075, GDX, 3419, 20, 170.950000, ZIP, 3531, 20, 176.550000, 
trial0002076, GDX, 3168, 20, 158.400000, ZIP, 3054, 20, 152.700000, 
trial0002077, GDX, 2389, 20, 119.450000, ZIP, 4254, 20, 212.700000, 
trial0002078, GDX, 1751, 20, 87.550000, ZIP, 5055, 20, 252.750000, 
trial0002079, GDX, 3260, 20, 163.000000, ZIP, 4081, 20, 204.050000, 
trial0002080, GDX, 3340, 20, 167.000000, ZIP, 3134, 20, 156.700000, 
trial0002081, GDX, 3595, 20, 179.750000, ZIP, 2344, 20, 117.200000, 
trial0002082, GDX, 3795, 20, 189.750000, ZIP, 2429, 20, 121.450000, 
trial0002083, GDX, 3380, 20, 169.000000, ZIP, 3691, 20, 184.550000, 
trial0002084, GDX, 3231, 20, 161.550000, ZIP, 3507, 20, 175.350000, 
trial0002085, GDX, 2451, 20, 122.550000, ZIP, 4395, 20, 219.750000, 
trial0002086, GDX, 3449, 20, 172.450000, ZIP, 3211, 20, 160.550000, 
trial0002087, GDX, 5109, 20, 255.450000, ZIP, 2285, 20, 114.250000, 
trial0002088, GDX, 2253, 20, 112.650000, ZIP, 3483, 20, 174.150000, 
trial0002089, GDX, 4059, 20, 202.950000, ZIP, 4089, 20, 204.450000, 
trial0002090, GDX, 3828, 20, 191.400000, ZIP, 3538, 20, 176.900000, 
trial0002091, GDX, 3001, 20, 150.050000, ZIP, 3343, 20, 167.150000, 
trial0002092, GDX, 3356, 20, 167.800000, ZIP, 3640, 20, 182.000000, 
trial0002093, GDX, 3476, 20, 173.800000, ZIP, 3514, 20, 175.700000, 
trial0002094, GDX, 2875, 20, 143.750000, ZIP, 3994, 20, 199.700000, 
trial0002095, GDX, 2354, 20, 117.700000, ZIP, 3544, 20, 177.200000, 
trial0002096, GDX, 3519, 20, 175.950000, ZIP, 3658, 20, 182.900000, 
trial0002097, GDX, 2758, 20, 137.900000, ZIP, 2292, 20, 114.600000, 
trial0002098, GDX, 4129, 20, 206.450000, ZIP, 3036, 20, 151.800000, 
trial0002099, GDX, 3223, 20, 161.150000, ZIP, 4738, 20, 236.900000, 
trial0002100, GDX, 3645, 20, 182.250000, ZIP, 3110, 20, 155.500000, 
trial0002101, GDX, 3662, 20, 183.100000, ZIP, 3794, 20, 189.700000, 
trial0002102, GDX, 3837, 20, 191.850000, ZIP, 3385, 20, 169.250000, 
trial0002103, GDX, 4050, 20, 202.500000, ZIP, 3229, 20, 161.450000, 
trial0002104, GDX, 2348, 20, 117.400000, ZIP, 4202, 20, 210.100000, 
trial0002105, GDX, 3306, 20, 165.300000, ZIP, 4001, 20, 200.050000, 
trial0002106, GDX, 3644, 20, 182.200000, ZIP, 3613, 20, 180.650000, 
trial0002107, GDX, 4699, 20, 234.950000, ZIP, 2547, 20, 127.350000, 
trial0002108, GDX, 2198, 20, 109.900000, ZIP, 3103, 20, 155.150000, 
trial0002109, GDX, 3348, 20, 167.400000, ZIP, 4025, 20, 201.250000, 
trial0002110, GDX, 2123, 20, 106.150000, ZIP, 4495, 20, 224.750000, 
trial0002111, GDX, 3147, 20, 157.350000, ZIP, 4414, 20, 220.700000, 
trial0002112, GDX, 3563, 20, 178.150000, ZIP, 3930, 20, 196.500000, 
trial0002113, GDX, 4031, 20, 201.550000, ZIP, 3326, 20, 166.300000, 
trial0002114, GDX, 3804, 20, 190.200000, ZIP, 3896, 20, 194.800000, 
trial0002115, GDX, 3045, 20, 152.250000, ZIP, 3945, 20, 197.250000, 
trial0002116, GDX, 4132, 20, 206.600000, ZIP, 3324, 20, 166.200000, 
trial0002117, GDX, 2573, 20, 128.650000, ZIP, 4648, 20, 232.400000, 
trial0002118, GDX, 3662, 20, 183.100000, ZIP, 3690, 20, 184.500000, 
trial0002119, GDX, 4150, 20, 207.500000, ZIP, 3276, 20, 163.800000, 
trial0002120, GDX, 3330, 20, 166.500000, ZIP, 3285, 20, 164.250000, 
trial0002121, GDX, 2008, 20, 100.400000, ZIP, 4377, 20, 218.850000, 
trial0002122, GDX, 4049, 20, 202.450000, ZIP, 2796, 20, 139.800000, 
trial0002123, GDX, 2002, 20, 100.100000, ZIP, 4366, 20, 218.300000, 
trial0002124, GDX, 3348, 20, 167.400000, ZIP, 3571, 20, 178.550000, 
trial0002125, GDX, 4279, 20, 213.950000, ZIP, 2710, 20, 135.500000, 
trial0002126, GDX, 3571, 20, 178.550000, ZIP, 3461, 20, 173.050000, 
trial0002127, GDX, 2977, 20, 148.850000, ZIP, 4545, 20, 227.250000, 
trial0002128, GDX, 3836, 20, 191.800000, ZIP, 3576, 20, 178.800000, 
trial0002129, GDX, 2854, 20, 142.700000, ZIP, 4511, 20, 225.550000, 
