trial0001801, AA, 10776, 30, 359.200000, ZIC, 0, 2, 0.000000, 
trial0001802, AA, 9932, 30, 331.066667, ZIC, 962, 2, 481.000000, 
trial0001803, AA, 10423, 30, 347.433333, ZIC, 604, 2, 302.000000, 
trial0001804, AA, 9610, 30, 320.333333, ZIC, 847, 2, 423.500000, 
trial0001805, AA, 10262, 30, 342.066667, ZIC, 126, 2, 63.000000, 
trial0001806, AA, 11080, 30, 369.333333, ZIC, 124, 2, 62.000000, 
trial0001807, AA, 9676, 30, 322.533333, ZIC, 1226, 2, 613.000000, 
trial0001808, AA, 10820, 30, 360.666667, ZIC, 5, 2, 2.500000, 
trial0001809, AA, 9867, 30, 328.900000, ZIC, 1136, 2, 568.000000, 
trial0001810, AA, 10109, 30, 336.966667, ZIC, 944, 2, 472.000000, 
trial0001811, AA, 10287, 30, 342.900000, ZIC, 86, 2, 43.000000, 
trial0001812, AA, 9797, 30, 326.566667, ZIC, 1214, 2, 607.000000, 
trial0001813, AA, 9928, 30, 330.933333, ZIC, 983, 2, 491.500000, 
trial0001814, AA, 9601, 30, 320.033333, ZIC, 988, 2, 494.000000, 
trial0001815, AA, 9758, 30, 325.266667, ZIC, 1268, 2, 634.000000, 
trial0001816, AA, 9676, 30, 322.533333, ZIC, 422, 2, 211.000000, 
trial0001817, AA, 9930, 30, 331.000000, ZIC, 1105, 2, 552.500000, 
trial0001818, AA, 10130, 30, 337.666667, ZIC, 578, 2, 289.000000, 
trial0001819, AA, 9985, 30, 332.833333, ZIC, 659, 2, 329.500000, 
trial0001820, AA, 10951, 30, 365.033333, ZIC, 0, 2, 0.000000, 
trial0001821, AA, 10332, 30, 344.400000, ZIC, 600, 2, 300.000000, 
trial0001822, AA, 10839, 30, 361.300000, ZIC, 26, 2, 13.000000, 
trial0001823, AA, 11057, 30, 368.566667, ZIC, 0, 2, 0.000000, 
trial0001824, AA, 10205, 30, 340.166667, ZIC, 574, 2, 287.000000, 
trial0001825, AA, 10300, 30, 343.333333, ZIC, 453, 2, 226.500000, 
trial0001826, AA, 10182, 30, 339.400000, ZIC, 915, 2, 457.500000, 
trial0001827, AA, 11091, 30, 369.700000, ZIC, 12, 2, 6.000000, 
trial0001828, AA, 10289, 30, 342.966667, ZIC, 864, 2, 432.000000, 
trial0001829, AA, 10129, 30, 337.633333, ZIC, 909, 2, 454.500000, 
trial0001830, AA, 9736, 30, 324.533333, ZIC, 997, 2, 498.500000, 
trial0001831, AA, 6170, 30, 205.666667, ZIC, 637, 2, 318.500000, 
trial0001832, AA, 6942, 30, 231.400000, ZIC, 7, 2, 3.500000, 
trial0001833, AA, 6470, 30, 215.666667, ZIC, 527, 2, 263.500000, 
trial0001834, AA, 6737, 30, 224.566667, ZIC, 31, 2, 15.500000, 
trial0001835, AA, 7015, 30, 233.833333, ZIC, 0, 2, 0.000000, 
trial0001836, AA, 6905, 30, 230.166667, ZIC, 287, 2, 143.500000, 
trial0001837, AA, 6839, 30, 227.966667, ZIC, 21, 2, 10.500000, 
trial0001838, AA, 6375, 30, 212.500000, ZIC, 257, 2, 128.500000, 
trial0001839, AA, 7124, 30, 237.466667, ZIC, 0, 2, 0.000000, 
trial0001840, AA, 7049, 30, 234.966667, ZIC, 0, 2, 0.000000, 
trial0001841, AA, 6678, 30, 222.600000, ZIC, 122, 2, 61.000000, 
trial0001842, AA, 7022, 30, 234.066667, ZIC, 57, 2, 28.500000, 
trial0001843, AA, 6455, 30, 215.166667, ZIC, 654, 2, 327.000000, 
trial0001844, AA, 6601, 30, 220.033333, ZIC, 304, 2, 152.000000, 
trial0001845, AA, 7040, 30, 234.666667, ZIC, 0, 2, 0.000000, 
trial0001846, AA, 6676, 30, 222.533333, ZIC, 152, 2, 76.000000, 
trial0001847, AA, 5831, 30, 194.366667, ZIC, 838, 2, 419.000000, 
trial0001848, AA, 7165, 30, 238.833333, ZIC, 0, 2, 0.000000, 
trial0001849, AA, 6569, 30, 218.966667, ZIC, 123, 2, 61.500000, 
trial0001850, AA, 7035, 30, 234.500000, ZIC, 0, 2, 0.000000, 
trial0001851, AA, 7225, 30, 240.833333, ZIC, 0, 2, 0.000000, 
trial0001852, AA, 7064, 30, 235.466667, ZIC, 68, 2, 34.000000, 
trial0001853, AA, 6680, 30, 222.666667, ZIC, 300, 2, 150.000000, 
trial0001854, AA, 6824, 30, 227.466667, ZIC, 94, 2, 47.000000, 
trial0001855, AA, 6296, 30, 209.866667, ZIC, 684, 2, 342.000000, 
trial0001856, AA, 6464, 30, 215.466667, ZIC, 522, 2, 261.000000, 
trial0001857, AA, 6448, 30, 214.933333, ZIC, 667, 2, 333.500000, 
trial0001858, AA, 6900, 30, 230.000000, ZIC, 135, 2, 67.500000, 
