trial0057001, ZIC, 87, 2, 43.500000, ZIP, 273, 30, 9.100000, 
trial0057002, ZIC, 0, 2, 0.000000, ZIP, 331, 30, 11.033333, 
trial0057003, ZIC, 18, 2, 9.000000, ZIP, 406, 30, 13.533333, 
trial0057004, ZIC, 4, 2, 2.000000, ZIP, 356, 30, 11.866667, 
trial0057005, ZIC, 0, 2, 0.000000, ZIP, 453, 30, 15.100000, 
trial0057006, ZIC, 43, 2, 21.500000, ZIP, 353, 30, 11.766667, 
trial0057007, ZIC, 74, 2, 37.000000, ZIP, 264, 30, 8.800000, 
trial0057008, ZIC, 34, 2, 17.000000, ZIP, 254, 30, 8.466667, 
trial0057009, ZIC, 0, 2, 0.000000, ZIP, 387, 30, 12.900000, 
trial0057010, ZIC, 18, 2, 9.000000, ZIP, 435, 30, 14.500000, 
trial0057011, ZIC, 16, 2, 8.000000, ZIP, 430, 30, 14.333333, 
trial0057012, ZIC, 54, 2, 27.000000, ZIP, 334, 30, 11.133333, 
trial0057013, ZIC, 71, 2, 35.500000, ZIP, 332, 30, 11.066667, 
trial0057014, ZIC, 51, 2, 25.500000, ZIP, 309, 30, 10.300000, 
trial0057015, ZIC, 0, 2, 0.000000, ZIP, 417, 30, 13.900000, 
trial0057016, ZIC, 28, 2, 14.000000, ZIP, 411, 30, 13.700000, 
trial0057017, ZIC, 48, 2, 24.000000, ZIP, 369, 30, 12.300000, 
trial0057018, ZIC, 46, 2, 23.000000, ZIP, 371, 30, 12.366667, 
trial0057019, ZIC, 36, 2, 18.000000, ZIP, 374, 30, 12.466667, 
trial0057020, ZIC, 0, 2, 0.000000, ZIP, 446, 30, 14.866667, 
trial0057021, ZIC, 47, 2, 23.500000, ZIP, 335, 30, 11.166667, 
trial0057022, ZIC, 22, 2, 11.000000, ZIP, 388, 30, 12.933333, 
trial0057023, ZIC, 26, 2, 13.000000, ZIP, 398, 30, 13.266667, 
trial0057024, ZIC, 5, 2, 2.500000, ZIP, 426, 30, 14.200000, 
trial0057025, ZIC, 44, 2, 22.000000, ZIP, 293, 30, 9.766667, 
trial0057026, ZIC, 70, 2, 35.000000, ZIP, 376, 30, 12.533333, 
trial0057027, ZIC, 83, 2, 41.500000, ZIP, 355, 30, 11.833333, 
trial0057028, ZIC, 0, 2, 0.000000, ZIP, 381, 30, 12.700000, 
trial0057029, ZIC, 0, 2, 0.000000, ZIP, 425, 30, 14.166667, 
trial0057030, ZIC, 39, 2, 19.500000, ZIP, 314, 30, 10.466667, 
trial0057031, ZIC, 0, 2, 0.000000, ZIP, 75, 30, 2.500000, 
trial0057032, ZIC, 10, 2, 5.000000, ZIP, 52, 30, 1.733333, 
trial0057033, ZIC, 0, 2, 0.000000, ZIP, 66, 30, 2.200000, 
trial0057034, ZIC, 0, 2, 0.000000, ZIP, 53, 30, 1.766667, 
trial0057035, ZIC, 0, 2, 0.000000, ZIP, 69, 30, 2.300000, 
trial0057036, ZIC, 0, 2, 0.000000, ZIP, 89, 30, 2.966667, 
trial0057037, ZIC, 12, 2, 6.000000, ZIP, 9, 30, 0.300000, 
trial0057038, ZIC, 21, 2, 10.500000, ZIP, 110, 30, 3.666667, 
trial0057039, ZIC, 0, 2, 0.000000, ZIP, 36, 30, 1.200000, 
trial0057040, ZIC, 2, 2, 1.000000, ZIP, 84, 30, 2.800000, 
trial0057041, ZIC, 0, 2, 0.000000, ZIP, 63, 30, 2.100000, 
trial0057042, ZIC, 3, 2, 1.500000, ZIP, 98, 30, 3.266667, 
trial0057043, ZIC, 0, 2, 0.000000, ZIP, 57, 30, 1.900000, 
trial0057044, ZIC, 0, 2, 0.000000, ZIP, 0, 30, 0.000000, 
trial0057045, ZIC, 18, 2, 9.000000, ZIP, 54, 30, 1.800000, 
trial0057046, ZIC, 39, 2, 19.500000, ZIP, 89, 30, 2.966667, 
trial0057047, ZIC, 30, 2, 15.000000, ZIP, 24, 30, 0.800000, 
trial0057048, ZIC, 0, 2, 0.000000, ZIP, 71, 30, 2.366667, 
trial0057049, ZIC, 0, 2, 0.000000, ZIP, 35, 30, 1.166667, 
trial0057050, ZIC, 0, 2, 0.000000, ZIP, 36, 30, 1.200000, 
trial0057051, ZIC, 10, 2, 5.000000, ZIP, 70, 30, 2.333333, 
trial0057052, ZIC, 15, 2, 7.500000, ZIP, 38, 30, 1.266667, 
trial0057053, ZIC, 0, 2, 0.000000, ZIP, 66, 30, 2.200000, 
trial0057054, ZIC, 0, 2, 0.000000, ZIP, 0, 30, 0.000000, 
trial0057055, ZIC, 0, 2, 0.000000, ZIP, 0, 30, 0.000000, 
trial0057056, ZIC, 0, 2, 0.000000, ZIP, 75, 30, 2.500000, 
trial0057057, ZIC, 6, 2, 3.000000, ZIP, 23, 30, 0.766667, 
trial0057058, ZIC, 20, 2, 10.000000, ZIP, 105, 30, 3.500000, 
trial0057059, ZIC, 18, 2, 9.000000, ZIP, 65, 30, 2.166667, 
trial0057060, ZIC, 0, 2, 0.000000, ZIP, 71, 30, 2.366667, 
trial0057061, ZIC, 54, 2, 27.000000, ZIP, 365, 30, 12.166667, 
trial0057062, ZIC, 44, 2, 22.000000, ZIP, 368, 30, 12.266667, 
trial0057063, ZIC, 0, 2, 0.000000, ZIP, 293, 30, 9.766667, 
trial0057064, ZIC, 0, 2, 0.000000, ZIP, 370, 30, 12.333333, 
trial0057065, ZIC, 0, 2, 0.000000, ZIP, 335, 30, 11.166667, 
trial0057066, ZIC, 39, 2, 19.500000, ZIP, 310, 30, 10.333333, 
trial0057067, ZIC, 0, 2, 0.000000, ZIP, 335, 30, 11.166667, 
trial0057068, ZIC, 29, 2, 14.500000, ZIP, 306, 30, 10.200000, 
trial0057069, ZIC, 42, 2, 21.000000, ZIP, 321, 30, 10.700000, 
trial0057070, ZIC, 0, 2, 0.000000, ZIP, 328, 30, 10.933333, 
trial0057071, ZIC, 0, 2, 0.000000, ZIP, 321, 30, 10.700000, 
trial0057072, ZIC, 47, 2, 23.500000, ZIP, 379, 30, 12.633333, 
trial0057073, ZIC, 20, 2, 10.000000, ZIP, 392, 30, 13.066667, 
trial0057074, ZIC, 0, 2, 0.000000, ZIP, 307, 30, 10.233333, 
trial0057075, ZIC, 14, 2, 7.000000, ZIP, 370, 30, 12.333333, 
trial0057076, ZIC, 69, 2, 34.500000, ZIP, 322, 30, 10.733333, 
trial0057077, ZIC, 0, 2, 0.000000, ZIP, 314, 30, 10.466667, 
trial0057078, ZIC, 60, 2, 30.000000, ZIP, 275, 30, 9.166667, 
trial0057079, ZIC, 84, 2, 42.000000, ZIP, 279, 30, 9.300000, 
trial0057080, ZIC, 85, 2, 42.500000, ZIP, 236, 30, 7.866667, 
trial0057081, ZIC, 33, 2, 16.500000, ZIP, 393, 30, 13.100000, 
trial0057082, ZIC, 24, 2, 12.000000, ZIP, 241, 30, 8.033333, 
trial0057083, ZIC, 0, 2, 0.000000, ZIP, 377, 30, 12.566667, 
trial0057084, ZIC, 39, 2, 19.500000, ZIP, 331, 30, 11.033333, 
trial0057085, ZIC, 8, 2, 4.000000, ZIP, 376, 30, 12.533333, 
trial0057086, ZIC, 0, 2, 0.000000, ZIP, 230, 30, 7.666667, 
trial0057087, ZIC, 29, 2, 14.500000, ZIP, 362, 30, 12.066667, 
trial0057088, ZIC, 60, 2, 30.000000, ZIP, 219, 30, 7.300000, 
trial0057089, ZIC, 0, 2, 0.000000, ZIP, 405, 30, 13.500000, 
trial0057090, ZIC, 49, 2, 24.500000, ZIP, 321, 30, 10.700000, 
trial0057091, ZIC, 13, 2, 6.500000, ZIP, 335, 30, 11.166667, 
trial0057092, ZIC, 0, 2, 0.000000, ZIP, 336, 30, 11.200000, 
trial0057093, ZIC, 6, 2, 3.000000, ZIP, 318, 30, 10.600000, 
trial0057094, ZIC, 73, 2, 36.500000, ZIP, 270, 30, 9.000000, 
trial0057095, ZIC, 7, 2, 3.500000, ZIP, 293, 30, 9.766667, 
trial0057096, ZIC, 0, 2, 0.000000, ZIP, 183, 30, 6.100000, 
trial0057097, ZIC, 9, 2, 4.500000, ZIP, 285, 30, 9.500000, 
trial0057098, ZIC, 0, 2, 0.000000, ZIP, 380, 30, 12.666667, 
trial0057099, ZIC, 0, 2, 0.000000, ZIP, 232, 30, 7.733333, 
trial0057100, ZIC, 0, 2, 0.000000, ZIP, 349, 30, 11.633333, 
trial0057101, ZIC, 23, 2, 11.500000, ZIP, 259, 30, 8.633333, 
trial0057102, ZIC, 0, 2, 0.000000, ZIP, 312, 30, 10.400000, 
trial0057103, ZIC, 0, 2, 0.000000, ZIP, 226, 30, 7.533333, 
trial0057104, ZIC, 0, 2, 0.000000, ZIP, 312, 30, 10.400000, 
trial0057105, ZIC, 25, 2, 12.500000, ZIP, 257, 30, 8.566667, 
trial0057106, ZIC, 12, 2, 6.000000, ZIP, 263, 30, 8.766667, 
trial0057107, ZIC, 55, 2, 27.500000, ZIP, 288, 30, 9.600000, 
trial0057108, ZIC, 0, 2, 0.000000, ZIP, 288, 30, 9.600000, 
trial0057109, ZIC, 23, 2, 11.500000, ZIP, 338, 30, 11.266667, 
trial0057110, ZIC, 0, 2, 0.000000, ZIP, 287, 30, 9.566667, 
trial0057111, ZIC, 43, 2, 21.500000, ZIP, 330, 30, 11.000000, 
trial0057112, ZIC, 9, 2, 4.500000, ZIP, 315, 30, 10.500000, 
trial0057113, ZIC, 20, 2, 10.000000, ZIP, 304, 30, 10.133333, 
trial0057114, ZIC, 33, 2, 16.500000, ZIP, 267, 30, 8.900000, 
trial0057115, ZIC, 0, 2, 0.000000, ZIP, 361, 30, 12.033333, 
trial0057116, ZIC, 29, 2, 14.500000, ZIP, 271, 30, 9.033333, 
trial0057117, ZIC, 0, 2, 0.000000, ZIP, 349, 30, 11.633333, 
trial0057118, ZIC, 12, 2, 6.000000, ZIP, 349, 30, 11.633333, 
trial0057119, ZIC, 0, 2, 0.000000, ZIP, 386, 30, 12.866667, 
trial0057120, ZIC, 17, 2, 8.500000, ZIP, 326, 30, 10.866667, 
trial0057121, ZIC, 0, 2, 0.000000, ZIP, 283, 30, 9.433333, 
trial0057122, ZIC, 0, 2, 0.000000, ZIP, 224, 30, 7.466667, 
trial0057123, ZIC, 54, 2, 27.000000, ZIP, 229, 30, 7.633333, 
trial0057124, ZIC, 44, 2, 22.000000, ZIP, 270, 30, 9.000000, 
trial0057125, ZIC, 0, 2, 0.000000, ZIP, 262, 30, 8.733333, 
trial0057126, ZIC, 0, 2, 0.000000, ZIP, 310, 30, 10.333333, 
trial0057127, ZIC, 4, 2, 2.000000, ZIP, 278, 30, 9.266667, 
trial0057128, ZIC, 15, 2, 7.500000, ZIP, 294, 30, 9.800000, 
trial0057129, ZIC, 25, 2, 12.500000, ZIP, 284, 30, 9.466667, 
trial0057130, ZIC, 48, 2, 24.000000, ZIP, 267, 30, 8.900000, 
trial0057131, ZIC, 0, 2, 0.000000, ZIP, 255, 30, 8.500000, 
trial0057132, ZIC, 32, 2, 16.000000, ZIP, 267, 30, 8.900000, 
trial0057133, ZIC, 0, 2, 0.000000, ZIP, 261, 30, 8.700000, 
trial0057134, ZIC, 28, 2, 14.000000, ZIP, 282, 30, 9.400000, 
trial0057135, ZIC, 35, 2, 17.500000, ZIP, 226, 30, 7.533333, 
trial0057136, ZIC, 0, 2, 0.000000, ZIP, 266, 30, 8.866667, 
trial0057137, ZIC, 0, 2, 0.000000, ZIP, 288, 30, 9.600000, 
trial0057138, ZIC, 0, 2, 0.000000, ZIP, 224, 30, 7.466667, 
trial0057139, ZIC, 0, 2, 0.000000, ZIP, 336, 30, 11.200000, 
trial0057140, ZIC, 6, 2, 3.000000, ZIP, 298, 30, 9.933333, 
trial0057141, ZIC, 9, 2, 4.500000, ZIP, 268, 30, 8.933333, 
trial0057142, ZIC, 74, 2, 37.000000, ZIP, 219, 30, 7.300000, 
trial0057143, ZIC, 0, 2, 0.000000, ZIP, 288, 30, 9.600000, 
trial0057144, ZIC, 29, 2, 14.500000, ZIP, 291, 30, 9.700000, 
trial0057145, ZIC, 18, 2, 9.000000, ZIP, 137, 30, 4.566667, 
trial0057146, ZIC, 23, 2, 11.500000, ZIP, 212, 30, 7.066667, 
trial0057147, ZIC, 0, 2, 0.000000, ZIP, 203, 30, 6.766667, 
trial0057148, ZIC, 27, 2, 13.500000, ZIP, 299, 30, 9.966667, 
trial0057149, ZIC, 30, 2, 15.000000, ZIP, 258, 30, 8.600000, 
trial0057150, ZIC, 27, 2, 13.500000, ZIP, 266, 30, 8.866667, 
trial0057151, ZIC, 45, 2, 22.500000, ZIP, 384, 30, 12.800000, 
trial0057152, ZIC, 7, 2, 3.500000, ZIP, 364, 30, 12.133333, 
trial0057153, ZIC, 36, 2, 18.000000, ZIP, 342, 30, 11.400000, 
trial0057154, ZIC, 56, 2, 28.000000, ZIP, 403, 30, 13.433333, 
trial0057155, ZIC, 9, 2, 4.500000, ZIP, 450, 30, 15.000000, 
trial0057156, ZIC, 44, 2, 22.000000, ZIP, 362, 30, 12.066667, 
trial0057157, ZIC, 49, 2, 24.500000, ZIP, 387, 30, 12.900000, 
trial0057158, ZIC, 0, 2, 0.000000, ZIP, 369, 30, 12.300000, 
trial0057159, ZIC, 56, 2, 28.000000, ZIP, 380, 30, 12.666667, 
trial0057160, ZIC, 43, 2, 21.500000, ZIP, 416, 30, 13.866667, 
trial0057161, ZIC, 32, 2, 16.000000, ZIP, 412, 30, 13.733333, 
trial0057162, ZIC, 0, 2, 0.000000, ZIP, 415, 30, 13.833333, 
trial0057163, ZIC, 31, 2, 15.500000, ZIP, 339, 30, 11.300000, 
trial0057164, ZIC, 0, 2, 0.000000, ZIP, 430, 30, 14.333333, 
trial0057165, ZIC, 0, 2, 0.000000, ZIP, 415, 30, 13.833333, 
trial0057166, ZIC, 59, 2, 29.500000, ZIP, 332, 30, 11.066667, 
trial0057167, ZIC, 25, 2, 12.500000, ZIP, 337, 30, 11.233333, 
trial0057168, ZIC, 0, 2, 0.000000, ZIP, 436, 30, 14.533333, 
