trial0056401, AA, 136, 12, 11.333333, GDX, 155, 16, 9.687500, ZIP, 70, 4, 17.500000, 
trial0056402, AA, 123, 12, 10.250000, GDX, 312, 16, 19.500000, ZIP, 46, 4, 11.500000, 
trial0056403, AA, 219, 12, 18.250000, GDX, 147, 16, 9.187500, ZIP, 24, 4, 6.000000, 
trial0056404, AA, 166, 12, 13.833333, GDX, 115, 16, 7.187500, ZIP, 110, 4, 27.500000, 
trial0056405, AA, 198, 12, 16.500000, GDX, 126, 16, 7.875000, ZIP, 157, 4, 39.250000, 
trial0056406, AA, 54, 12, 4.500000, GDX, 299, 16, 18.687500, ZIP, 75, 4, 18.750000, 
trial0056407, AA, 96, 12, 8.000000, GDX, 299, 16, 18.687500, ZIP, 25, 4, 6.250000, 
trial0056408, AA, 150, 12, 12.500000, GDX, 225, 16, 14.062500, ZIP, 83, 4, 20.750000, 
trial0056409, AA, 126, 12, 10.500000, GDX, 240, 16, 15.000000, ZIP, 70, 4, 17.500000, 
trial0056410, AA, 134, 12, 11.166667, GDX, 228, 16, 14.250000, ZIP, 59, 4, 14.750000, 
trial0056411, AA, 375, 12, 31.250000, GDX, 62, 16, 3.875000, ZIP, 36, 4, 9.000000, 
trial0056412, AA, 137, 12, 11.416667, GDX, 186, 16, 11.625000, ZIP, 135, 4, 33.750000, 
trial0056413, AA, 67, 12, 5.583333, GDX, 187, 16, 11.687500, ZIP, 204, 4, 51.000000, 
trial0056414, AA, 136, 12, 11.333333, GDX, 193, 16, 12.062500, ZIP, 122, 4, 30.500000, 
trial0056415, AA, 188, 12, 15.666667, GDX, 156, 16, 9.750000, ZIP, 129, 4, 32.250000, 
trial0056416, AA, 131, 12, 10.916667, GDX, 139, 16, 8.687500, ZIP, 106, 4, 26.500000, 
trial0056417, AA, 185, 12, 15.416667, GDX, 183, 16, 11.437500, ZIP, 82, 4, 20.500000, 
trial0056418, AA, 183, 12, 15.250000, GDX, 178, 16, 11.125000, ZIP, 90, 4, 22.500000, 
trial0056419, AA, 217, 12, 18.083333, GDX, 75, 16, 4.687500, ZIP, 159, 4, 39.750000, 
trial0056420, AA, 201, 12, 16.750000, GDX, 227, 16, 14.187500, ZIP, 45, 4, 11.250000, 
trial0056421, AA, 65, 12, 5.416667, GDX, 312, 16, 19.500000, ZIP, 58, 4, 14.500000, 
trial0056422, AA, 237, 12, 19.750000, GDX, 90, 16, 5.625000, ZIP, 79, 4, 19.750000, 
trial0056423, AA, 151, 12, 12.583333, GDX, 119, 16, 7.437500, ZIP, 166, 4, 41.500000, 
trial0056424, AA, 125, 12, 10.416667, GDX, 107, 16, 6.687500, ZIP, 166, 4, 41.500000, 
trial0056425, AA, 168, 12, 14.000000, GDX, 161, 16, 10.062500, ZIP, 106, 4, 26.500000, 
trial0056426, AA, 179, 12, 14.916667, GDX, 154, 16, 9.625000, ZIP, 57, 4, 14.250000, 
trial0056427, AA, 170, 12, 14.166667, GDX, 228, 16, 14.250000, ZIP, 83, 4, 20.750000, 
trial0056428, AA, 189, 12, 15.750000, GDX, 208, 16, 13.000000, ZIP, 76, 4, 19.000000, 
trial0056429, AA, 195, 12, 16.250000, GDX, 144, 16, 9.000000, ZIP, 119, 4, 29.750000, 
trial0056430, AA, 73, 12, 6.083333, GDX, 353, 16, 22.062500, ZIP, 17, 4, 4.250000, 
trial0056431, AA, 22, 12, 1.833333, GDX, 46, 16, 2.875000, ZIP, 0, 4, 0.000000, 
trial0056432, AA, 33, 12, 2.750000, GDX, 37, 16, 2.312500, ZIP, 0, 4, 0.000000, 
trial0056433, AA, 16, 12, 1.333333, GDX, 38, 16, 2.375000, ZIP, 24, 4, 6.000000, 
trial0056434, AA, 22, 12, 1.833333, GDX, 47, 16, 2.937500, ZIP, 3, 4, 0.750000, 
trial0056435, AA, 26, 12, 2.166667, GDX, 42, 16, 2.625000, ZIP, 0, 4, 0.000000, 
trial0056436, AA, 42, 12, 3.500000, GDX, 37, 16, 2.312500, ZIP, 0, 4, 0.000000, 
trial0056437, AA, 57, 12, 4.750000, GDX, 16, 16, 1.000000, ZIP, 1, 4, 0.250000, 
trial0056438, AA, 33, 12, 2.750000, GDX, 24, 16, 1.500000, ZIP, 18, 4, 4.500000, 
trial0056439, AA, 28, 12, 2.333333, GDX, 40, 16, 2.500000, ZIP, 0, 4, 0.000000, 
trial0056440, AA, 31, 12, 2.583333, GDX, 19, 16, 1.187500, ZIP, 0, 4, 0.000000, 
trial0056441, AA, 26, 12, 2.166667, GDX, 49, 16, 3.062500, ZIP, 1, 4, 0.250000, 
trial0056442, AA, 24, 12, 2.000000, GDX, 34, 16, 2.125000, ZIP, 8, 4, 2.000000, 
trial0056443, AA, 40, 12, 3.333333, GDX, 30, 16, 1.875000, ZIP, 3, 4, 0.750000, 
trial0056444, AA, 35, 12, 2.916667, GDX, 20, 16, 1.250000, ZIP, 19, 4, 4.750000, 
trial0056445, AA, 21, 12, 1.750000, GDX, 36, 16, 2.250000, ZIP, 17, 4, 4.250000, 
trial0056446, AA, 35, 12, 2.916667, GDX, 26, 16, 1.625000, ZIP, 17, 4, 4.250000, 
trial0056447, AA, 24, 12, 2.000000, GDX, 56, 16, 3.500000, ZIP, 1, 4, 0.250000, 
trial0056448, AA, 28, 12, 2.333333, GDX, 47, 16, 2.937500, ZIP, 3, 4, 0.750000, 
trial0056449, AA, 22, 12, 1.833333, GDX, 43, 16, 2.687500, ZIP, 5, 4, 1.250000, 
trial0056450, AA, 31, 12, 2.583333, GDX, 39, 16, 2.437500, ZIP, 1, 4, 0.250000, 
trial0056451, AA, 18, 12, 1.500000, GDX, 43, 16, 2.687500, ZIP, 4, 4, 1.000000, 
trial0056452, AA, 42, 12, 3.500000, GDX, 27, 16, 1.687500, ZIP, 7, 4, 1.750000, 
trial0056453, AA, 13, 12, 1.083333, GDX, 41, 16, 2.562500, ZIP, 27, 4, 6.750000, 
trial0056454, AA, 23, 12, 1.916667, GDX, 56, 16, 3.500000, ZIP, 0, 4, 0.000000, 
trial0056455, AA, 14, 12, 1.166667, GDX, 48, 16, 3.000000, ZIP, 3, 4, 0.750000, 
trial0056456, AA, 40, 12, 3.333333, GDX, 24, 16, 1.500000, ZIP, 9, 4, 2.250000, 
trial0056457, AA, 23, 12, 1.916667, GDX, 51, 16, 3.187500, ZIP, 1, 4, 0.250000, 
trial0056458, AA, 14, 12, 1.166667, GDX, 59, 16, 3.687500, ZIP, 1, 4, 0.250000, 
trial0056459, AA, 26, 12, 2.166667, GDX, 44, 16, 2.750000, ZIP, 5, 4, 1.250000, 
trial0056460, AA, 21, 12, 1.750000, GDX, 48, 16, 3.000000, ZIP, 1, 4, 0.250000, 
trial0056461, AA, 35, 12, 2.916667, GDX, 50, 16, 3.125000, ZIP, 2, 4, 0.500000, 
trial0056462, AA, 8, 12, 0.666667, GDX, 81, 16, 5.062500, ZIP, 0, 4, 0.000000, 
trial0056463, AA, 28, 12, 2.333333, GDX, 55, 16, 3.437500, ZIP, 0, 4, 0.000000, 
trial0056464, AA, 30, 12, 2.500000, GDX, 36, 16, 2.250000, ZIP, 22, 4, 5.500000, 
trial0056465, AA, 18, 12, 1.500000, GDX, 71, 16, 4.437500, ZIP, 0, 4, 0.000000, 
trial0056466, AA, 38, 12, 3.166667, GDX, 38, 16, 2.375000, ZIP, 13, 4, 3.250000, 
trial0056467, AA, 32, 12, 2.666667, GDX, 37, 16, 2.312500, ZIP, 8, 4, 2.000000, 
trial0056468, AA, 28, 12, 2.333333, GDX, 38, 16, 2.375000, ZIP, 0, 4, 0.000000, 
trial0056469, AA, 25, 12, 2.083333, GDX, 46, 16, 2.875000, ZIP, 0, 4, 0.000000, 
trial0056470, AA, 24, 12, 2.000000, GDX, 56, 16, 3.500000, ZIP, 0, 4, 0.000000, 
trial0056471, AA, 34, 12, 2.833333, GDX, 51, 16, 3.187500, ZIP, 1, 4, 0.250000, 
trial0056472, AA, 39, 12, 3.250000, GDX, 51, 16, 3.187500, ZIP, 0, 4, 0.000000, 
trial0056473, AA, 37, 12, 3.083333, GDX, 52, 16, 3.250000, ZIP, 5, 4, 1.250000, 
trial0056474, AA, 39, 12, 3.250000, GDX, 45, 16, 2.812500, ZIP, 5, 4, 1.250000, 
trial0056475, AA, 5, 12, 0.416667, GDX, 61, 16, 3.812500, ZIP, 0, 4, 0.000000, 
trial0056476, AA, 7, 12, 0.583333, GDX, 44, 16, 2.750000, ZIP, 0, 4, 0.000000, 
trial0056477, AA, 41, 12, 3.416667, GDX, 31, 16, 1.937500, ZIP, 11, 4, 2.750000, 
trial0056478, AA, 19, 12, 1.583333, GDX, 31, 16, 1.937500, ZIP, 0, 4, 0.000000, 
trial0056479, AA, 30, 12, 2.500000, GDX, 60, 16, 3.750000, ZIP, 4, 4, 1.000000, 
trial0056480, AA, 23, 12, 1.916667, GDX, 64, 16, 4.000000, ZIP, 5, 4, 1.250000, 
trial0056481, AA, 35, 12, 2.916667, GDX, 44, 16, 2.750000, ZIP, 6, 4, 1.500000, 
trial0056482, AA, 22, 12, 1.833333, GDX, 51, 16, 3.187500, ZIP, 1, 4, 0.250000, 
trial0056483, AA, 9, 12, 0.750000, GDX, 61, 16, 3.812500, ZIP, 15, 4, 3.750000, 
trial0056484, AA, 31, 12, 2.583333, GDX, 52, 16, 3.250000, ZIP, 6, 4, 1.500000, 
trial0056485, AA, 21, 12, 1.750000, GDX, 45, 16, 2.812500, ZIP, 26, 4, 6.500000, 
trial0056486, AA, 23, 12, 1.916667, GDX, 55, 16, 3.437500, ZIP, 1, 4, 0.250000, 
trial0056487, AA, 22, 12, 1.833333, GDX, 61, 16, 3.812500, ZIP, 6, 4, 1.500000, 
trial0056488, AA, 38, 12, 3.166667, GDX, 41, 16, 2.562500, ZIP, 15, 4, 3.750000, 
trial0056489, AA, 20, 12, 1.666667, GDX, 46, 16, 2.875000, ZIP, 8, 4, 2.000000, 
trial0056490, AA, 10, 12, 0.833333, GDX, 53, 16, 3.312500, ZIP, 5, 4, 1.250000, 
trial0056491, AA, 187, 12, 15.583333, GDX, 123, 16, 7.687500, ZIP, 62, 4, 15.500000, 
trial0056492, AA, 67, 12, 5.583333, GDX, 259, 16, 16.187500, ZIP, 6, 4, 1.500000, 
trial0056493, AA, 108, 12, 9.000000, GDX, 197, 16, 12.312500, ZIP, 92, 4, 23.000000, 
trial0056494, AA, 147, 12, 12.250000, GDX, 122, 16, 7.625000, ZIP, 64, 4, 16.000000, 
trial0056495, AA, 63, 12, 5.250000, GDX, 202, 16, 12.625000, ZIP, 42, 4, 10.500000, 
trial0056496, AA, 131, 12, 10.916667, GDX, 119, 16, 7.437500, ZIP, 101, 4, 25.250000, 
trial0056497, AA, 208, 12, 17.333333, GDX, 125, 16, 7.812500, ZIP, 70, 4, 17.500000, 
trial0056498, AA, 134, 12, 11.166667, GDX, 0, 16, 0.000000, ZIP, 147, 4, 36.750000, 
trial0056499, AA, 98, 12, 8.166667, GDX, 139, 16, 8.687500, ZIP, 154, 4, 38.500000, 
trial0056500, AA, 14, 12, 1.166667, GDX, 318, 16, 19.875000, ZIP, 78, 4, 19.500000, 
trial0056501, AA, 82, 12, 6.833333, GDX, 239, 16, 14.937500, ZIP, 45, 4, 11.250000, 
trial0056502, AA, 69, 12, 5.750000, GDX, 149, 16, 9.312500, ZIP, 167, 4, 41.750000, 
trial0056503, AA, 130, 12, 10.833333, GDX, 168, 16, 10.500000, ZIP, 61, 4, 15.250000, 
trial0056504, AA, 163, 12, 13.583333, GDX, 157, 16, 9.812500, ZIP, 39, 4, 9.750000, 
trial0056505, AA, 52, 12, 4.333333, GDX, 221, 16, 13.812500, ZIP, 111, 4, 27.750000, 
trial0056506, AA, 80, 12, 6.666667, GDX, 150, 16, 9.375000, ZIP, 103, 4, 25.750000, 
trial0056507, AA, 148, 12, 12.333333, GDX, 145, 16, 9.062500, ZIP, 72, 4, 18.000000, 
trial0056508, AA, 74, 12, 6.166667, GDX, 201, 16, 12.562500, ZIP, 84, 4, 21.000000, 
trial0056509, AA, 77, 12, 6.416667, GDX, 256, 16, 16.000000, ZIP, 70, 4, 17.500000, 
trial0056510, AA, 59, 12, 4.916667, GDX, 219, 16, 13.687500, ZIP, 125, 4, 31.250000, 
trial0056511, AA, 161, 12, 13.416667, GDX, 182, 16, 11.375000, ZIP, 41, 4, 10.250000, 
trial0056512, AA, 94, 12, 7.833333, GDX, 222, 16, 13.875000, ZIP, 87, 4, 21.750000, 
trial0056513, AA, 0, 12, 0.000000, GDX, 295, 16, 18.437500, ZIP, 0, 4, 0.000000, 
trial0056514, AA, 96, 12, 8.000000, GDX, 305, 16, 19.062500, ZIP, 2, 4, 0.500000, 
trial0056515, AA, 223, 12, 18.583333, GDX, 167, 16, 10.437500, ZIP, 0, 4, 0.000000, 
trial0056516, AA, 73, 12, 6.083333, GDX, 247, 16, 15.437500, ZIP, 45, 4, 11.250000, 
trial0056517, AA, 54, 12, 4.500000, GDX, 208, 16, 13.000000, ZIP, 135, 4, 33.750000, 
trial0056518, AA, 137, 12, 11.416667, GDX, 188, 16, 11.750000, ZIP, 59, 4, 14.750000, 
trial0056519, AA, 58, 12, 4.833333, GDX, 97, 16, 6.062500, ZIP, 81, 4, 20.250000, 
trial0056520, AA, 127, 12, 10.583333, GDX, 176, 16, 11.000000, ZIP, 62, 4, 15.500000, 
trial0056521, AA, 167, 12, 13.916667, GDX, 120, 16, 7.500000, ZIP, 60, 4, 15.000000, 
trial0056522, AA, 13, 12, 1.083333, GDX, 298, 16, 18.625000, ZIP, 87, 4, 21.750000, 
trial0056523, AA, 115, 12, 9.583333, GDX, 100, 16, 6.250000, ZIP, 101, 4, 25.250000, 
trial0056524, AA, 84, 12, 7.000000, GDX, 197, 16, 12.312500, ZIP, 69, 4, 17.250000, 
trial0056525, AA, 80, 12, 6.666667, GDX, 183, 16, 11.437500, ZIP, 95, 4, 23.750000, 
trial0056526, AA, 89, 12, 7.416667, GDX, 208, 16, 13.000000, ZIP, 60, 4, 15.000000, 
trial0056527, AA, 53, 12, 4.416667, GDX, 253, 16, 15.812500, ZIP, 98, 4, 24.500000, 
trial0056528, AA, 57, 12, 4.750000, GDX, 188, 16, 11.750000, ZIP, 153, 4, 38.250000, 
trial0056529, AA, 249, 12, 20.750000, GDX, 65, 16, 4.062500, ZIP, 50, 4, 12.500000, 
trial0056530, AA, 106, 12, 8.833333, GDX, 285, 16, 17.812500, ZIP, 40, 4, 10.000000, 
trial0056531, AA, 105, 12, 8.750000, GDX, 212, 16, 13.250000, ZIP, 67, 4, 16.750000, 
trial0056532, AA, 79, 12, 6.583333, GDX, 207, 16, 12.937500, ZIP, 79, 4, 19.750000, 
trial0056533, AA, 121, 12, 10.083333, GDX, 203, 16, 12.687500, ZIP, 54, 4, 13.500000, 
trial0056534, AA, 76, 12, 6.333333, GDX, 238, 16, 14.875000, ZIP, 104, 4, 26.000000, 
trial0056535, AA, 44, 12, 3.666667, GDX, 267, 16, 16.687500, ZIP, 94, 4, 23.500000, 
trial0056536, AA, 101, 12, 8.416667, GDX, 139, 16, 8.687500, ZIP, 138, 4, 34.500000, 
trial0056537, AA, 191, 12, 15.916667, GDX, 240, 16, 15.000000, ZIP, 0, 4, 0.000000, 
trial0056538, AA, 40, 12, 3.333333, GDX, 178, 16, 11.125000, ZIP, 105, 4, 26.250000, 
trial0056539, AA, 113, 12, 9.416667, GDX, 222, 16, 13.875000, ZIP, 96, 4, 24.000000, 
trial0056540, AA, 53, 12, 4.416667, GDX, 190, 16, 11.875000, ZIP, 60, 4, 15.000000, 
trial0056541, AA, 135, 12, 11.250000, GDX, 165, 16, 10.312500, ZIP, 17, 4, 4.250000, 
trial0056542, AA, 136, 12, 11.333333, GDX, 166, 16, 10.375000, ZIP, 35, 4, 8.750000, 
trial0056543, AA, 243, 12, 20.250000, GDX, 99, 16, 6.187500, ZIP, 83, 4, 20.750000, 
trial0056544, AA, 82, 12, 6.833333, GDX, 139, 16, 8.687500, ZIP, 82, 4, 20.500000, 
trial0056545, AA, 221, 12, 18.416667, GDX, 110, 16, 6.875000, ZIP, 94, 4, 23.500000, 
trial0056546, AA, 99, 12, 8.250000, GDX, 174, 16, 10.875000, ZIP, 118, 4, 29.500000, 
trial0056547, AA, 61, 12, 5.083333, GDX, 147, 16, 9.187500, ZIP, 176, 4, 44.000000, 
trial0056548, AA, 244, 12, 20.333333, GDX, 71, 16, 4.437500, ZIP, 69, 4, 17.250000, 
trial0056549, AA, 80, 12, 6.666667, GDX, 250, 16, 15.625000, ZIP, 95, 4, 23.750000, 
trial0056550, AA, 154, 12, 12.833333, GDX, 192, 16, 12.000000, ZIP, 31, 4, 7.750000, 
trial0056551, AA, 4, 12, 0.333333, GDX, 118, 16, 7.375000, ZIP, 38, 4, 9.500000, 
trial0056552, AA, 86, 12, 7.166667, GDX, 165, 16, 10.312500, ZIP, 5, 4, 1.250000, 
trial0056553, AA, 70, 12, 5.833333, GDX, 144, 16, 9.000000, ZIP, 42, 4, 10.500000, 
trial0056554, AA, 39, 12, 3.250000, GDX, 107, 16, 6.687500, ZIP, 10, 4, 2.500000, 
trial0056555, AA, 23, 12, 1.916667, GDX, 98, 16, 6.125000, ZIP, 75, 4, 18.750000, 
trial0056556, AA, 19, 12, 1.583333, GDX, 128, 16, 8.000000, ZIP, 61, 4, 15.250000, 
trial0056557, AA, 48, 12, 4.000000, GDX, 52, 16, 3.250000, ZIP, 52, 4, 13.000000, 
trial0056558, AA, 46, 12, 3.833333, GDX, 70, 16, 4.375000, ZIP, 72, 4, 18.000000, 
trial0056559, AA, 48, 12, 4.000000, GDX, 4, 16, 0.250000, ZIP, 0, 4, 0.000000, 
trial0056560, AA, 76, 12, 6.333333, GDX, 91, 16, 5.687500, ZIP, 77, 4, 19.250000, 
trial0056561, AA, 0, 12, 0.000000, GDX, 44, 16, 2.750000, ZIP, 104, 4, 26.000000, 
trial0056562, AA, 40, 12, 3.333333, GDX, 124, 16, 7.750000, ZIP, 88, 4, 22.000000, 
trial0056563, AA, 86, 12, 7.166667, GDX, 92, 16, 5.750000, ZIP, 34, 4, 8.500000, 
trial0056564, AA, 58, 12, 4.833333, GDX, 100, 16, 6.250000, ZIP, 10, 4, 2.500000, 
trial0056565, AA, 83, 12, 6.916667, GDX, 101, 16, 6.312500, ZIP, 52, 4, 13.000000, 
trial0056566, AA, 0, 12, 0.000000, GDX, 125, 16, 7.812500, ZIP, 15, 4, 3.750000, 
trial0056567, AA, 116, 12, 9.666667, GDX, 72, 16, 4.500000, ZIP, 28, 4, 7.000000, 
trial0056568, AA, 80, 12, 6.666667, GDX, 85, 16, 5.312500, ZIP, 11, 4, 2.750000, 
