trial0045901, AA, 66, 20, 3.300000, GDX, 106, 12, 8.833333, 
trial0045902, AA, 93, 20, 4.650000, GDX, 94, 12, 7.833333, 
trial0045903, AA, 92, 20, 4.600000, GDX, 83, 12, 6.916667, 
trial0045904, AA, 85, 20, 4.250000, GDX, 108, 12, 9.000000, 
trial0045905, AA, 54, 20, 2.700000, GDX, 133, 12, 11.083333, 
trial0045906, AA, 71, 20, 3.550000, GDX, 110, 12, 9.166667, 
trial0045907, AA, 91, 20, 4.550000, GDX, 81, 12, 6.750000, 
trial0045908, AA, 85, 20, 4.250000, GDX, 108, 12, 9.000000, 
trial0045909, AA, 72, 20, 3.600000, GDX, 67, 12, 5.583333, 
trial0045910, AA, 58, 20, 2.900000, GDX, 132, 12, 11.000000, 
trial0045911, AA, 51, 20, 2.550000, GDX, 66, 12, 5.500000, 
trial0045912, AA, 121, 20, 6.050000, GDX, 60, 12, 5.000000, 
trial0045913, AA, 109, 20, 5.450000, GDX, 69, 12, 5.750000, 
trial0045914, AA, 126, 20, 6.300000, GDX, 55, 12, 4.583333, 
trial0045915, AA, 123, 20, 6.150000, GDX, 61, 12, 5.083333, 
trial0045916, AA, 99, 20, 4.950000, GDX, 88, 12, 7.333333, 
trial0045917, AA, 99, 20, 4.950000, GDX, 61, 12, 5.083333, 
trial0045918, AA, 86, 20, 4.300000, GDX, 98, 12, 8.166667, 
trial0045919, AA, 91, 20, 4.550000, GDX, 96, 12, 8.000000, 
trial0045920, AA, 90, 20, 4.500000, GDX, 73, 12, 6.083333, 
trial0045921, AA, 87, 20, 4.350000, GDX, 94, 12, 7.833333, 
trial0045922, AA, 109, 20, 5.450000, GDX, 57, 12, 4.750000, 
trial0045923, AA, 95, 20, 4.750000, GDX, 95, 12, 7.916667, 
trial0045924, AA, 12, 20, 0.600000, GDX, 105, 12, 8.750000, 
trial0045925, AA, 120, 20, 6.000000, GDX, 70, 12, 5.833333, 
trial0045926, AA, 105, 20, 5.250000, GDX, 67, 12, 5.583333, 
trial0045927, AA, 100, 20, 5.000000, GDX, 72, 12, 6.000000, 
trial0045928, AA, 112, 20, 5.600000, GDX, 75, 12, 6.250000, 
trial0045929, AA, 135, 20, 6.750000, GDX, 52, 12, 4.333333, 
trial0045930, AA, 87, 20, 4.350000, GDX, 100, 12, 8.333333, 
trial0045931, AA, 157, 20, 7.850000, GDX, 157, 12, 13.083333, 
trial0045932, AA, 203, 20, 10.150000, GDX, 111, 12, 9.250000, 
trial0045933, AA, 153, 20, 7.650000, GDX, 151, 12, 12.583333, 
trial0045934, AA, 203, 20, 10.150000, GDX, 91, 12, 7.583333, 
trial0045935, AA, 189, 20, 9.450000, GDX, 125, 12, 10.416667, 
