trial0046201, AA, 393, 18, 21.833333, GDX, 0, 14, 0.000000, 
trial0046202, AA, 271, 18, 15.055556, GDX, 397, 14, 28.357143, 
trial0046203, AA, 484, 18, 26.888889, GDX, 173, 14, 12.357143, 
trial0046204, AA, 373, 18, 20.722222, GDX, 295, 14, 21.071429, 
trial0046205, AA, 427, 18, 23.722222, GDX, 241, 14, 17.214286, 
trial0046206, AA, 321, 18, 17.833333, GDX, 177, 14, 12.642857, 
trial0046207, AA, 324, 18, 18.000000, GDX, 354, 14, 25.285714, 
trial0046208, AA, 394, 18, 21.888889, GDX, 274, 14, 19.571429, 
trial0046209, AA, 569, 18, 31.611111, GDX, 99, 14, 7.071429, 
trial0046210, AA, 231, 18, 12.833333, GDX, 56, 14, 4.000000, 
trial0046211, AA, 319, 18, 17.722222, GDX, 307, 14, 21.928571, 
trial0046212, AA, 348, 18, 19.333333, GDX, 299, 14, 21.357143, 
trial0046213, AA, 399, 18, 22.166667, GDX, 248, 14, 17.714286, 
trial0046214, AA, 366, 18, 20.333333, GDX, 35, 14, 2.500000, 
trial0046215, AA, 355, 18, 19.722222, GDX, 323, 14, 23.071429, 
trial0046216, AA, 533, 18, 29.611111, GDX, 135, 14, 9.642857, 
trial0046217, AA, 390, 18, 21.666667, GDX, 172, 14, 12.285714, 
trial0046218, AA, 473, 18, 26.277778, GDX, 64, 14, 4.571429, 
trial0046219, AA, 363, 18, 20.166667, GDX, 29, 14, 2.071429, 
trial0046220, AA, 337, 18, 18.722222, GDX, 310, 14, 22.142857, 
trial0046221, AA, 482, 18, 26.777778, GDX, 175, 14, 12.500000, 
trial0046222, AA, 358, 18, 19.888889, GDX, 247, 14, 17.642857, 
trial0046223, AA, 444, 18, 24.666667, GDX, 117, 14, 8.357143, 
trial0046224, AA, 450, 18, 25.000000, GDX, 154, 14, 11.000000, 
trial0046225, AA, 413, 18, 22.944444, GDX, 0, 14, 0.000000, 
trial0046226, AA, 345, 18, 19.166667, GDX, 323, 14, 23.071429, 
trial0046227, AA, 436, 18, 24.222222, GDX, 242, 14, 17.285714, 
trial0046228, AA, 153, 18, 8.500000, GDX, 334, 14, 23.857143, 
trial0046229, AA, 341, 18, 18.944444, GDX, 274, 14, 19.571429, 
trial0046230, AA, 513, 18, 28.500000, GDX, 144, 14, 10.285714, 
trial0046231, AA, 87, 18, 4.833333, GDX, 92, 14, 6.571429, 
trial0046232, AA, 96, 18, 5.333333, GDX, 83, 14, 5.928571, 
trial0046233, AA, 102, 18, 5.666667, GDX, 62, 14, 4.428571, 
trial0046234, AA, 121, 18, 6.722222, GDX, 58, 14, 4.142857, 
trial0046235, AA, 57, 18, 3.166667, GDX, 131, 14, 9.357143, 
trial0046236, AA, 80, 18, 4.444444, GDX, 111, 14, 7.928571, 
trial0046237, AA, 99, 18, 5.500000, GDX, 86, 14, 6.142857, 
trial0046238, AA, 141, 18, 7.833333, GDX, 38, 14, 2.714286, 
trial0046239, AA, 105, 18, 5.833333, GDX, 77, 14, 5.500000, 
trial0046240, AA, 95, 18, 5.277778, GDX, 84, 14, 6.000000, 
trial0046241, AA, 63, 18, 3.500000, GDX, 122, 14, 8.714286, 
trial0046242, AA, 78, 18, 4.333333, GDX, 62, 14, 4.428571, 
trial0046243, AA, 103, 18, 5.722222, GDX, 76, 14, 5.428571, 
trial0046244, AA, 65, 18, 3.611111, GDX, 102, 14, 7.285714, 
trial0046245, AA, 89, 18, 4.944444, GDX, 78, 14, 5.571429, 
trial0046246, AA, 69, 18, 3.833333, GDX, 104, 14, 7.428571, 
trial0046247, AA, 43, 18, 2.388889, GDX, 136, 14, 9.714286, 
trial0046248, AA, 98, 18, 5.444444, GDX, 93, 14, 6.642857, 
trial0046249, AA, 83, 18, 4.611111, GDX, 102, 14, 7.285714, 
trial0046250, AA, 129, 18, 7.166667, GDX, 38, 14, 2.714286, 
trial0046251, AA, 69, 18, 3.833333, GDX, 107, 14, 7.642857, 
trial0046252, AA, 65, 18, 3.611111, GDX, 39, 14, 2.785714, 
trial0046253, AA, 91, 18, 5.055556, GDX, 97, 14, 6.928571, 
trial0046254, AA, 25, 18, 1.388889, GDX, 163, 14, 11.642857, 
trial0046255, AA, 86, 18, 4.777778, GDX, 69, 14, 4.928571, 
trial0046256, AA, 61, 18, 3.388889, GDX, 127, 14, 9.071429, 
trial0046257, AA, 6, 18, 0.333333, GDX, 137, 14, 9.785714, 
trial0046258, AA, 51, 18, 2.833333, GDX, 116, 14, 8.285714, 
trial0046259, AA, 122, 18, 6.777778, GDX, 66, 14, 4.714286, 
trial0046260, AA, 91, 18, 5.055556, GDX, 64, 14, 4.571429, 
trial0046261, AA, 61, 18, 3.388889, GDX, 179, 14, 12.785714, 
trial0046262, AA, 109, 18, 6.055556, GDX, 71, 14, 5.071429, 
trial0046263, AA, 107, 18, 5.944444, GDX, 125, 14, 8.928571, 
trial0046264, AA, 129, 18, 7.166667, GDX, 95, 14, 6.785714, 
trial0046265, AA, 94, 18, 5.222222, GDX, 154, 14, 11.000000, 
trial0046266, AA, 144, 18, 8.000000, GDX, 52, 14, 3.714286, 
trial0046267, AA, 137, 18, 7.611111, GDX, 99, 14, 7.071429, 
trial0046268, AA, 150, 18, 8.333333, GDX, 78, 14, 5.571429, 
trial0046269, AA, 122, 18, 6.777778, GDX, 130, 14, 9.285714, 
trial0046270, AA, 46, 18, 2.555556, GDX, 114, 14, 8.142857, 
trial0046271, AA, 76, 18, 4.222222, GDX, 172, 14, 12.285714, 
trial0046272, AA, 152, 18, 8.444444, GDX, 52, 14, 3.714286, 
trial0046273, AA, 116, 18, 6.444444, GDX, 0, 14, 0.000000, 
trial0046274, AA, 94, 18, 5.222222, GDX, 158, 14, 11.285714, 
trial0046275, AA, 87, 18, 4.833333, GDX, 137, 14, 9.785714, 
trial0046276, AA, 176, 18, 9.777778, GDX, 72, 14, 5.142857, 
trial0046277, AA, 13, 18, 0.722222, GDX, 151, 14, 10.785714, 
trial0046278, AA, 97, 18, 5.388889, GDX, 95, 14, 6.785714, 
trial0046279, AA, 87, 18, 4.833333, GDX, 149, 14, 10.642857, 
trial0046280, AA, 27, 18, 1.500000, GDX, 161, 14, 11.500000, 
trial0046281, AA, 115, 18, 6.388889, GDX, 73, 14, 5.214286, 
trial0046282, AA, 98, 18, 5.444444, GDX, 98, 14, 7.000000, 
trial0046283, AA, 151, 18, 8.388889, GDX, 105, 14, 7.500000, 
trial0046284, AA, 129, 18, 7.166667, GDX, 47, 14, 3.357143, 
trial0046285, AA, 49, 18, 2.722222, GDX, 119, 14, 8.500000, 
trial0046286, AA, 47, 18, 2.611111, GDX, 177, 14, 12.642857, 
trial0046287, AA, 156, 18, 8.666667, GDX, 76, 14, 5.428571, 
trial0046288, AA, 176, 18, 9.777778, GDX, 72, 14, 5.142857, 
trial0046289, AA, 117, 18, 6.500000, GDX, 103, 14, 7.357143, 
trial0046290, AA, 114, 18, 6.333333, GDX, 130, 14, 9.285714, 
trial0046291, AA, 316, 18, 17.555556, GDX, 207, 14, 14.785714, 
trial0046292, AA, 399, 18, 22.166667, GDX, 235, 14, 16.785714, 
trial0046293, AA, 258, 18, 14.333333, GDX, 343, 14, 24.500000, 
trial0046294, AA, 364, 18, 20.222222, GDX, 115, 14, 8.214286, 
trial0046295, AA, 146, 18, 8.111111, GDX, 354, 14, 25.285714, 
trial0046296, AA, 410, 18, 22.777778, GDX, 0, 14, 0.000000, 
trial0046297, AA, 302, 18, 16.777778, GDX, 355, 14, 25.357143, 
trial0046298, AA, 304, 18, 16.888889, GDX, 375, 14, 26.785714, 
trial0046299, AA, 355, 18, 19.722222, GDX, 201, 14, 14.357143, 
trial0046300, AA, 377, 18, 20.944444, GDX, 0, 14, 0.000000, 
trial0046301, AA, 409, 18, 22.722222, GDX, 114, 14, 8.142857, 
trial0046302, AA, 500, 18, 27.777778, GDX, 201, 14, 14.357143, 
trial0046303, AA, 408, 18, 22.666667, GDX, 115, 14, 8.214286, 
trial0046304, AA, 391, 18, 21.722222, GDX, 288, 14, 20.571429, 
trial0046305, AA, 321, 18, 17.833333, GDX, 392, 14, 28.000000, 
trial0046306, AA, 504, 18, 28.000000, GDX, 163, 14, 11.642857, 
trial0046307, AA, 383, 18, 21.277778, GDX, 273, 14, 19.500000, 
trial0046308, AA, 511, 18, 28.388889, GDX, 156, 14, 11.142857, 
trial0046309, AA, 446, 18, 24.777778, GDX, 255, 14, 18.214286, 
trial0046310, AA, 453, 18, 25.166667, GDX, 170, 14, 12.142857, 
trial0046311, AA, 237, 18, 13.166667, GDX, 442, 14, 31.571429, 
trial0046312, AA, 339, 18, 18.833333, GDX, 362, 14, 25.857143, 
trial0046313, AA, 392, 18, 21.777778, GDX, 298, 14, 21.285714, 
trial0046314, AA, 320, 18, 17.777778, GDX, 359, 14, 25.642857, 
trial0046315, AA, 176, 18, 9.777778, GDX, 458, 14, 32.714286, 
trial0046316, AA, 387, 18, 21.500000, GDX, 326, 14, 23.285714, 
trial0046317, AA, 300, 18, 16.666667, GDX, 334, 14, 23.857143, 
trial0046318, AA, 556, 18, 30.888889, GDX, 157, 14, 11.214286, 
trial0046319, AA, 400, 18, 22.222222, GDX, 245, 14, 17.500000, 
trial0046320, AA, 538, 18, 29.888889, GDX, 152, 14, 10.857143, 
trial0046321, AA, 480, 18, 26.666667, GDX, 192, 14, 13.714286, 
trial0046322, AA, 230, 18, 12.777778, GDX, 442, 14, 31.571429, 
trial0046323, AA, 336, 18, 18.666667, GDX, 369, 14, 26.357143, 
trial0046324, AA, 457, 18, 25.388889, GDX, 138, 14, 9.857143, 
trial0046325, AA, 323, 18, 17.944444, GDX, 294, 14, 21.000000, 
trial0046326, AA, 471, 18, 26.166667, GDX, 223, 14, 15.928571, 
trial0046327, AA, 197, 18, 10.944444, GDX, 497, 14, 35.500000, 
trial0046328, AA, 536, 18, 29.777778, GDX, 147, 14, 10.500000, 
trial0046329, AA, 419, 18, 23.277778, GDX, 231, 14, 16.500000, 
trial0046330, AA, 455, 18, 25.277778, GDX, 206, 14, 14.714286, 
trial0046331, AA, 488, 18, 27.111111, GDX, 206, 14, 14.714286, 
trial0046332, AA, 475, 18, 26.388889, GDX, 197, 14, 14.071429, 
trial0046333, AA, 429, 18, 23.833333, GDX, 221, 14, 15.785714, 
trial0046334, AA, 353, 18, 19.611111, GDX, 275, 14, 19.642857, 
trial0046335, AA, 546, 18, 30.333333, GDX, 148, 14, 10.571429, 
trial0046336, AA, 322, 18, 17.888889, GDX, 251, 14, 17.928571, 
trial0046337, AA, 374, 18, 20.777778, GDX, 287, 14, 20.500000, 
trial0046338, AA, 288, 18, 16.000000, GDX, 395, 14, 28.214286, 
trial0046339, AA, 315, 18, 17.500000, GDX, 313, 14, 22.357143, 
trial0046340, AA, 314, 18, 17.444444, GDX, 336, 14, 24.000000, 
trial0046341, AA, 327, 18, 18.166667, GDX, 367, 14, 26.214286, 
trial0046342, AA, 427, 18, 23.722222, GDX, 190, 14, 13.571429, 
trial0046343, AA, 520, 18, 28.888889, GDX, 163, 14, 11.642857, 
trial0046344, AA, 263, 18, 14.611111, GDX, 309, 14, 22.071429, 
trial0046345, AA, 344, 18, 19.111111, GDX, 284, 14, 20.285714, 
trial0046346, AA, 523, 18, 29.055556, GDX, 116, 14, 8.285714, 
trial0046347, AA, 411, 18, 22.833333, GDX, 283, 14, 20.214286, 
trial0046348, AA, 328, 18, 18.222222, GDX, 245, 14, 17.500000, 
trial0046349, AA, 247, 18, 13.722222, GDX, 381, 14, 27.214286, 
trial0046350, AA, 304, 18, 16.888889, GDX, 247, 14, 17.642857, 
trial0046351, AA, 599, 18, 33.277778, GDX, 110, 14, 7.857143, 
trial0046352, AA, 504, 18, 28.000000, GDX, 193, 14, 13.785714, 
trial0046353, AA, 441, 18, 24.500000, GDX, 303, 14, 21.642857, 
trial0046354, AA, 433, 18, 24.055556, GDX, 288, 14, 20.571429, 
trial0046355, AA, 382, 18, 21.222222, GDX, 338, 14, 24.142857, 
trial0046356, AA, 349, 18, 19.388889, GDX, 324, 14, 23.142857, 
trial0046357, AA, 468, 18, 26.000000, GDX, 276, 14, 19.714286, 
trial0046358, AA, 356, 18, 19.777778, GDX, 258, 14, 18.428571, 
trial0046359, AA, 472, 18, 26.222222, GDX, 166, 14, 11.857143, 
trial0046360, AA, 585, 18, 32.500000, GDX, 100, 14, 7.142857, 
trial0046361, AA, 445, 18, 24.722222, GDX, 275, 14, 19.642857, 
trial0046362, AA, 440, 18, 24.444444, GDX, 245, 14, 17.500000, 
trial0046363, AA, 494, 18, 27.444444, GDX, 238, 14, 17.000000, 
trial0046364, AA, 378, 18, 21.000000, GDX, 366, 14, 26.142857, 
trial0046365, AA, 353, 18, 19.611111, GDX, 320, 14, 22.857143, 
trial0046366, AA, 488, 18, 27.111111, GDX, 174, 14, 12.428571, 
trial0046367, AA, 402, 18, 22.333333, GDX, 306, 14, 21.857143, 
trial0046368, AA, 589, 18, 32.722222, GDX, 96, 14, 6.857143, 
trial0046369, AA, 417, 18, 23.166667, GDX, 185, 14, 13.214286, 
trial0046370, AA, 366, 18, 20.333333, GDX, 319, 14, 22.785714, 
trial0046371, AA, 452, 18, 25.111111, GDX, 268, 14, 19.142857, 
trial0046372, AA, 349, 18, 19.388889, GDX, 407, 14, 29.071429, 
trial0046373, AA, 555, 18, 30.833333, GDX, 201, 14, 14.357143, 
trial0046374, AA, 456, 18, 25.333333, GDX, 288, 14, 20.571429, 
trial0046375, AA, 433, 18, 24.055556, GDX, 275, 14, 19.642857, 
trial0046376, AA, 560, 18, 31.111111, GDX, 102, 14, 7.285714, 
trial0046377, AA, 589, 18, 32.722222, GDX, 143, 14, 10.214286, 
trial0046378, AA, 492, 18, 27.333333, GDX, 216, 14, 15.428571, 
trial0046379, AA, 597, 18, 33.166667, GDX, 159, 14, 11.357143, 
trial0046380, AA, 497, 18, 27.611111, GDX, 200, 14, 14.285714, 
trial0046381, AA, 353, 18, 19.611111, GDX, 104, 14, 7.428571, 
trial0046382, AA, 286, 18, 15.888889, GDX, 156, 14, 11.142857, 
