trial0002078, GDX, 1075, 38, 28.289474, ZIP, 146, 2, 73.000000, 
trial0002079, GDX, 542, 38, 14.263158, ZIP, 192, 2, 96.000000, 
trial0002080, GDX, 819, 38, 21.552632, ZIP, 263, 2, 131.500000, 
trial0002081, GDX, 617, 38, 16.236842, ZIP, 290, 2, 145.000000, 
trial0002082, GDX, 908, 38, 23.894737, ZIP, 102, 2, 51.000000, 
trial0002083, GDX, 681, 38, 17.921053, ZIP, 251, 2, 125.500000, 
trial0002084, GDX, 1446, 38, 38.052632, ZIP, 191, 2, 95.500000, 
trial0002085, GDX, 683, 38, 17.973684, ZIP, 225, 2, 112.500000, 
trial0002086, GDX, 1290, 38, 33.947368, ZIP, 293, 2, 146.500000, 
trial0002087, GDX, 258, 38, 6.789474, ZIP, 198, 2, 99.000000, 
trial0002088, GDX, 1251, 38, 32.921053, ZIP, 290, 2, 145.000000, 
trial0002089, GDX, 1008, 38, 26.526316, ZIP, 275, 2, 137.500000, 
trial0002090, GDX, 1382, 38, 36.368421, ZIP, 254, 2, 127.000000, 
trial0002091, GDX, 741, 38, 19.500000, ZIP, 503, 2, 251.500000, 
trial0002092, GDX, 1111, 38, 29.236842, ZIP, 166, 2, 83.000000, 
trial0002093, GDX, 1386, 38, 36.473684, ZIP, 180, 2, 90.000000, 
trial0002094, GDX, 499, 38, 13.131579, ZIP, 73, 2, 36.500000, 
trial0002095, GDX, 631, 38, 16.605263, ZIP, 352, 2, 176.000000, 
trial0002096, GDX, 404, 38, 10.631579, ZIP, 241, 2, 120.500000, 
trial0002097, GDX, 37, 38, 0.973684, ZIP, 62, 2, 31.000000, 
trial0002098, GDX, 225, 38, 5.921053, ZIP, 62, 2, 31.000000, 
trial0002099, GDX, 1190, 38, 31.315789, ZIP, 151, 2, 75.500000, 
trial0002100, GDX, 940, 38, 24.736842, ZIP, 353, 2, 176.500000, 
trial0002101, GDX, 2329, 38, 61.289474, ZIP, 143, 2, 71.500000, 
trial0002102, GDX, 1810, 38, 47.631579, ZIP, 57, 2, 28.500000, 
trial0002103, GDX, 2447, 38, 64.394737, ZIP, 114, 2, 57.000000, 
trial0002104, GDX, 5914, 38, 155.631579, ZIP, 63, 2, 31.500000, 
trial0002105, GDX, 1601, 38, 42.131579, ZIP, 683, 2, 341.500000, 
trial0002106, GDX, 384, 38, 10.105263, ZIP, 856, 2, 428.000000, 
trial0002107, GDX, 2162, 38, 56.894737, ZIP, 228, 2, 114.000000, 
trial0002108, GDX, 1901, 38, 50.026316, ZIP, 344, 2, 172.000000, 
trial0002109, GDX, 1024, 38, 26.947368, ZIP, 678, 2, 339.000000, 
trial0002110, GDX, 4399, 38, 115.763158, ZIP, 42, 2, 21.000000, 
trial0002111, GDX, 1142, 38, 30.052632, ZIP, 259, 2, 129.500000, 
trial0002112, GDX, 1268, 38, 33.368421, ZIP, 26, 2, 13.000000, 
trial0002113, GDX, 853, 38, 22.447368, ZIP, 183, 2, 91.500000, 
trial0002114, GDX, 1216, 38, 32.000000, ZIP, 240, 2, 120.000000, 
trial0002115, GDX, 1815, 38, 47.763158, ZIP, 242, 2, 121.000000, 
trial0002116, GDX, 1705, 38, 44.868421, ZIP, 361, 2, 180.500000, 
trial0002117, GDX, 3538, 38, 93.105263, ZIP, 216, 2, 108.000000, 
trial0002118, GDX, 1104, 38, 29.052632, ZIP, 133, 2, 66.500000, 
trial0002119, GDX, 369, 38, 9.710526, ZIP, 41, 2, 20.500000, 
trial0002120, GDX, 1387, 38, 36.500000, ZIP, 525, 2, 262.500000, 
trial0002121, GDX, 1410, 38, 37.105263, ZIP, 23, 2, 11.500000, 
trial0002122, GDX, 1967, 38, 51.763158, ZIP, 177, 2, 88.500000, 
trial0002123, GDX, 1617, 38, 42.552632, ZIP, 31, 2, 15.500000, 
trial0002124, GDX, 1288, 38, 33.894737, ZIP, 146, 2, 73.000000, 
trial0002125, GDX, 4801, 38, 126.342105, ZIP, 277, 2, 138.500000, 
trial0002126, GDX, 1384, 38, 36.421053, ZIP, 301, 2, 150.500000, 
trial0002127, GDX, 1944, 38, 51.157895, ZIP, 457, 2, 228.500000, 
trial0002128, GDX, 227, 38, 5.973684, ZIP, 705, 2, 352.500000, 
