trial0000081, AA, 5378, 38, 141.526316, GDX, 284, 2, 142.000000, 
trial0000082, AA, 5187, 38, 136.500000, GDX, 528, 2, 264.000000, 
trial0000083, AA, 5299, 38, 139.447368, GDX, 281, 2, 140.500000, 
trial0000084, AA, 5056, 38, 133.052632, GDX, 570, 2, 285.000000, 
trial0000085, AA, 5339, 38, 140.500000, GDX, 261, 2, 130.500000, 
trial0000086, AA, 5168, 38, 136.000000, GDX, 529, 2, 264.500000, 
trial0000087, AA, 4621, 38, 121.605263, GDX, 1008, 2, 504.000000, 
trial0000088, AA, 5034, 38, 132.473684, GDX, 547, 2, 273.500000, 
trial0000089, AA, 5437, 38, 143.078947, GDX, 277, 2, 138.500000, 
trial0000090, AA, 5707, 38, 150.184211, GDX, 0, 2, 0.000000, 
trial0000091, AA, 5170, 38, 136.052632, GDX, 532, 2, 266.000000, 
trial0000092, AA, 5030, 38, 132.368421, GDX, 676, 2, 338.000000, 
trial0000093, AA, 4913, 38, 129.289474, GDX, 899, 2, 449.500000, 
trial0000094, AA, 5365, 38, 141.184211, GDX, 0, 2, 0.000000, 
trial0000095, AA, 5355, 38, 140.921053, GDX, 353, 2, 176.500000, 
trial0000096, AA, 5096, 38, 134.105263, GDX, 400, 2, 200.000000, 
trial0000097, AA, 5396, 38, 142.000000, GDX, 237, 2, 118.500000, 
trial0000098, AA, 5425, 38, 142.763158, GDX, 0, 2, 0.000000, 
trial0000099, AA, 5312, 38, 139.789474, GDX, 476, 2, 238.000000, 
trial0000100, AA, 5359, 38, 141.026316, GDX, 294, 2, 147.000000, 
trial0000101, AA, 6304, 38, 165.894737, GDX, 265, 2, 132.500000, 
trial0000102, AA, 6199, 38, 163.131579, GDX, 468, 2, 234.000000, 
trial0000103, AA, 6637, 38, 174.657895, GDX, 0, 2, 0.000000, 
trial0000104, AA, 6873, 38, 180.868421, GDX, 17, 2, 8.500000, 
trial0000105, AA, 6220, 38, 163.684211, GDX, 455, 2, 227.500000, 
trial0000106, AA, 6175, 38, 162.500000, GDX, 274, 2, 137.000000, 
trial0000107, AA, 6614, 38, 174.052632, GDX, 0, 2, 0.000000, 
trial0000108, AA, 6523, 38, 171.657895, GDX, 6, 2, 3.000000, 
trial0000109, AA, 6290, 38, 165.526316, GDX, 0, 2, 0.000000, 
trial0000110, AA, 6160, 38, 162.105263, GDX, 584, 2, 292.000000, 
trial0000111, AA, 6694, 38, 176.157895, GDX, 0, 2, 0.000000, 
trial0000112, AA, 6179, 38, 162.605263, GDX, 243, 2, 121.500000, 
trial0000113, AA, 6319, 38, 166.289474, GDX, 347, 2, 173.500000, 
trial0000114, AA, 6502, 38, 171.105263, GDX, 2, 2, 1.000000, 
trial0000115, AA, 6637, 38, 174.657895, GDX, 17, 2, 8.500000, 
trial0000116, AA, 6393, 38, 168.236842, GDX, 447, 2, 223.500000, 
trial0000117, AA, 6155, 38, 161.973684, GDX, 413, 2, 206.500000, 
trial0000118, AA, 6164, 38, 162.210526, GDX, 362, 2, 181.000000, 
trial0000119, AA, 6525, 38, 171.710526, GDX, 326, 2, 163.000000, 
trial0000120, AA, 6480, 38, 170.526316, GDX, 309, 2, 154.500000, 
trial0000121, AA, 6165, 38, 162.236842, GDX, 406, 2, 203.000000, 
trial0000122, AA, 6528, 38, 171.789474, GDX, 4, 2, 2.000000, 
trial0000123, AA, 5651, 38, 148.710526, GDX, 453, 2, 226.500000, 
trial0000124, AA, 5918, 38, 155.736842, GDX, 939, 2, 469.500000, 
trial0000125, AA, 5970, 38, 157.105263, GDX, 553, 2, 276.500000, 
trial0000126, AA, 5954, 38, 156.684211, GDX, 632, 2, 316.000000, 
trial0000127, AA, 6311, 38, 166.078947, GDX, 645, 2, 322.500000, 
trial0000128, AA, 6473, 38, 170.342105, GDX, 231, 2, 115.500000, 
trial0000129, AA, 6042, 38, 159.000000, GDX, 275, 2, 137.500000, 
