trial0051001, AA, 9, 2, 4.500000, GDX, 42, 10, 4.200000, ZIC, 73, 10, 7.300000, ZIP, 50, 10, 5.000000, 
trial0051002, AA, 0, 2, 0.000000, GDX, 54, 10, 5.400000, ZIC, 47, 10, 4.700000, ZIP, 52, 10, 5.200000, 
trial0051003, AA, 0, 2, 0.000000, GDX, 28, 10, 2.800000, ZIC, 24, 10, 2.400000, ZIP, 125, 10, 12.500000, 
trial0051004, AA, 0, 2, 0.000000, GDX, 24, 10, 2.400000, ZIC, 33, 10, 3.300000, ZIP, 81, 10, 8.100000, 
trial0051005, AA, 18, 2, 9.000000, GDX, 12, 10, 1.200000, ZIC, 50, 10, 5.000000, ZIP, 61, 10, 6.100000, 
trial0051006, AA, 24, 2, 12.000000, GDX, 29, 10, 2.900000, ZIC, 90, 10, 9.000000, ZIP, 43, 10, 4.300000, 
trial0051007, AA, 14, 2, 7.000000, GDX, 48, 10, 4.800000, ZIC, 49, 10, 4.900000, ZIP, 57, 10, 5.700000, 
trial0051008, AA, 15, 2, 7.500000, GDX, 20, 10, 2.000000, ZIC, 47, 10, 4.700000, ZIP, 104, 10, 10.400000, 
trial0051009, AA, 0, 2, 0.000000, GDX, 121, 10, 12.100000, ZIC, 27, 10, 2.700000, ZIP, 20, 10, 2.000000, 
trial0051010, AA, 0, 2, 0.000000, GDX, 27, 10, 2.700000, ZIC, 43, 10, 4.300000, ZIP, 77, 10, 7.700000, 
trial0051011, AA, 19, 2, 9.500000, GDX, 29, 10, 2.900000, ZIC, 50, 10, 5.000000, ZIP, 64, 10, 6.400000, 
trial0051012, AA, 6, 2, 3.000000, GDX, 27, 10, 2.700000, ZIC, 50, 10, 5.000000, ZIP, 85, 10, 8.500000, 
trial0051013, AA, 6, 2, 3.000000, GDX, 12, 10, 1.200000, ZIC, 77, 10, 7.700000, ZIP, 64, 10, 6.400000, 
trial0051014, AA, 2, 2, 1.000000, GDX, 25, 10, 2.500000, ZIC, 61, 10, 6.100000, ZIP, 83, 10, 8.300000, 
trial0051015, AA, 24, 2, 12.000000, GDX, 35, 10, 3.500000, ZIC, 47, 10, 4.700000, ZIP, 44, 10, 4.400000, 
trial0051016, AA, 5, 2, 2.500000, GDX, 25, 10, 2.500000, ZIC, 52, 10, 5.200000, ZIP, 41, 10, 4.100000, 
trial0051017, AA, 32, 2, 16.000000, GDX, 49, 10, 4.900000, ZIC, 49, 10, 4.900000, ZIP, 56, 10, 5.600000, 
trial0051018, AA, 19, 2, 9.500000, GDX, 19, 10, 1.900000, ZIC, 67, 10, 6.700000, ZIP, 81, 10, 8.100000, 
trial0051019, AA, 17, 2, 8.500000, GDX, 18, 10, 1.800000, ZIC, 43, 10, 4.300000, ZIP, 45, 10, 4.500000, 
trial0051020, AA, 26, 2, 13.000000, GDX, 31, 10, 3.100000, ZIC, 50, 10, 5.000000, ZIP, 64, 10, 6.400000, 
trial0051021, AA, 8, 2, 4.000000, GDX, 61, 10, 6.100000, ZIC, 34, 10, 3.400000, ZIP, 32, 10, 3.200000, 
trial0051022, AA, 23, 2, 11.500000, GDX, 27, 10, 2.700000, ZIC, 61, 10, 6.100000, ZIP, 69, 10, 6.900000, 
trial0051023, AA, 14, 2, 7.000000, GDX, 54, 10, 5.400000, ZIC, 27, 10, 2.700000, ZIP, 70, 10, 7.000000, 
trial0051024, AA, 0, 2, 0.000000, GDX, 43, 10, 4.300000, ZIC, 69, 10, 6.900000, ZIP, 80, 10, 8.000000, 
trial0051025, AA, 12, 2, 6.000000, GDX, 24, 10, 2.400000, ZIC, 61, 10, 6.100000, ZIP, 50, 10, 5.000000, 
trial0051026, AA, 2, 2, 1.000000, GDX, 66, 10, 6.600000, ZIC, 32, 10, 3.200000, ZIP, 38, 10, 3.800000, 
trial0051027, AA, 24, 2, 12.000000, GDX, 44, 10, 4.400000, ZIC, 44, 10, 4.400000, ZIP, 77, 10, 7.700000, 
trial0051028, AA, 6, 2, 3.000000, GDX, 48, 10, 4.800000, ZIC, 81, 10, 8.100000, ZIP, 18, 10, 1.800000, 
